chargeback_id,transaction_id,reason,amount,opened_at,resolved_at
CB000034,TXN00010581,FRAUD,8947.68,2025-02-17 23:40:26.374061288,2025-04-11 23:40:26.374061288
CB000035,TXN00010993,FRAUD,1450.89,2025-02-09 16:54:25.647842792,2025-03-04 16:54:25.647842792
CB000036,TXN00012052,SUBSCRIPTION_CANCELLED,10.2,2025-02-22 17:18:31.417645640,2025-03-08 17:18:31.417645640
CB000037,TXN00012066,PRODUCT_NOT_RECEIVED,4449.19,2025-03-03 17:56:42.328540647,2025-04-17 17:56:42.328540647
CB000038,TXN00012637,AUTHORISATION,2512.13,2025-02-18 18:56:42.327078865,2025-03-12 18:56:42.327078865
CB000039,TXN00013110,FRAUD,177.25,2025-04-02 16:47:51.200467383,2025-05-17 16:47:51.200467383
CB000040,TXN00013385,DUPLICATE,2677.99,2025-02-28 06:00:46.167520510,2025-04-17 06:00:46.167520510
CB000041,TXN00013744,SUBSCRIPTION_CANCELLED,2296.21,2025-03-31 22:42:16.054313023,
CB000042,TXN00014181,PRODUCT_NOT_RECEIVED,44.74,2025-03-14 18:48:54.409965605,
CB000043,TXN00014201,FRAUD,172.16,2025-02-26 19:41:57.662251992,
CB000044,TXN00014663,FRAUD,3106.41,2025-02-27 14:37:04.151483306,2025-04-20 14:37:04.151483306
CB000045,TXN00014731,FRAUD,5836.97,2025-02-12 18:22:40.583114997,2025-03-30 18:22:40.583114997
CB000046,TXN00014932,FRAUD,6798.25,2025-02-16 03:28:42.828964372,2025-03-16 03:28:42.828964372
CB000047,TXN00015121,FRAUD,9537.66,2025-02-25 12:04:11.115502963,2025-04-02 12:04:11.115502963
CB000048,TXN00015140,PRODUCT_NOT_RECEIVED,34.62,2025-02-27 12:56:50.787925926,2025-04-02 12:56:50.787925926
CB000049,TXN00015846,AUTHORISATION,117.84,2025-03-19 22:13:55.732378746,2025-03-29 22:13:55.732378746
CB000050,TXN00016022,FRAUD,9.68,2025-02-20 06:16:35.769621538,
CB000051,TXN00016635,FRAUD,6827.87,2025-04-02 08:58:42.345755057,2025-05-30 08:58:42.345755057
CB000052,TXN00016797,FRAUD,968.3,2025-03-07 14:11:44.055357570,2025-03-21 14:11:44.055357570
CB000053,TXN00017203,FRAUD,1509.36,2025-03-24 06:23:59.637231499,2025-05-20 06:23:59.637231499
CB000054,TXN00017862,FRAUD,112.52,2025-02-20 07:59:17.182747928,2025-03-02 07:59:17.182747928
CB000055,TXN00018439,PRODUCT_NOT_RECEIVED,10771.65,2025-02-22 06:29:43.397498470,2025-03-17 06:29:43.397498470
CB000056,TXN00018704,DUPLICATE,1107.53,2025-03-02 16:50:37.554983583,2025-04-21 16:50:37.554983583
CB000057,TXN00018740,FRAUD,111.53,2025-03-23 18:18:07.235911051,2025-04-17 18:18:07.235911051
CB000058,TXN00019598,PRODUCT_NOT_RECEIVED,152.48,2025-02-23 03:02:38.894300719,2025-03-21 03:02:38.894300719
CB000059,TXN00019725,DUPLICATE,3484.43,2025-03-12 07:25:23.060512819,2025-04-09 07:25:23.060512819
CB000060,TXN00020029,DUPLICATE,4103.85,2025-03-24 19:06:29.009946462,2025-05-13 19:06:29.009946462
CB000061,TXN00020103,DUPLICATE,2749.04,2025-03-27 21:56:16.044736965,2025-04-12 21:56:16.044736965
CB000062,TXN00020425,FRAUD,4706.91,2025-04-18 10:44:08.359179698,2025-06-16 10:44:08.359179698
CB000063,TXN00021055,DUPLICATE,3526.16,2025-03-27 11:33:24.514432705,
CB000064,TXN00021317,DUPLICATE,2323.74,2025-03-11 21:30:50.647024817,2025-04-02 21:30:50.647024817
CB000065,TXN00021433,FRAUD,3562.92,2025-04-18 01:29:41.064985662,2025-05-20 01:29:41.064985662
CB000066,TXN00021485,FRAUD,7.53,2025-03-30 03:37:59.189475972,2025-05-13 03:37:59.189475972
CB000067,TXN00021831,FRAUD,21.94,2025-04-06 17:32:35.390537184,
CB000068,TXN00022022,FRAUD,704.83,2025-03-03 01:14:03.120039558,2025-04-23 01:14:03.120039558
CB000069,TXN00022034,FRAUD,1407.05,2025-03-26 01:48:55.600003556,
CB000070,TXN00022118,AUTHORISATION,31.34,2025-03-17 05:36:39.319360016,
CB000071,TXN00022456,FRAUD,14962.6,2025-04-03 18:55:08.902070866,2025-05-14 18:55:08.902070866
CB000072,TXN00023082,PRODUCT_NOT_RECEIVED,2564.16,2025-02-26 20:00:20.440433960,2025-03-10 20:00:20.440433960
CB000073,TXN00023197,PRODUCT_NOT_RECEIVED,1994.46,2025-04-25 00:54:39.014860673,2025-06-22 00:54:39.014860673
CB000074,TXN00023252,FRAUD,3053.32,2025-04-06 02:50:36.609085915,2025-04-28 02:50:36.609085915
CB000075,TXN00023425,AUTHORISATION,28.57,2025-03-22 09:49:51.169085437,2025-04-11 09:49:51.169085437
CB000076,TXN00023430,FRAUD,1816.12,2025-03-19 09:53:18.638669938,2025-04-14 09:53:18.638669938
CB000077,TXN00023706,FRAUD,125.9,2025-03-04 20:54:38.066944907,2025-03-21 20:54:38.066944907
CB000078,TXN00024522,DUPLICATE,127.83,2025-04-11 07:13:02.402554144,2025-04-28 07:13:02.402554144
CB000079,TXN00024714,FRAUD,164.74,2025-04-19 14:03:03.195610385,2025-05-15 14:03:03.195610385
CB000080,TXN00024871,DUPLICATE,172.7,2025-03-10 19:40:40.942798151,2025-04-30 19:40:40.942798151
CB000081,TXN00024883,FRAUD,3693.95,2025-03-12 20:11:54.940280376,2025-03-23 20:11:54.940280376
CB000082,TXN00025759,AUTHORISATION,2678.52,2025-03-13 05:25:28.195454398,2025-04-02 05:25:28.195454398
CB000083,TXN00025800,DUPLICATE,1368.07,2025-03-23 07:28:53.109346500,2025-04-20 07:28:53.109346500
CB000084,TXN00026020,SUBSCRIPTION_CANCELLED,2040.36,2025-04-29 15:33:43.072041176,
CB000085,TXN00026614,SUBSCRIPTION_CANCELLED,56.21,2025-03-04 15:43:01.870885268,
CB000086,TXN00026893,FRAUD,2394.72,2025-04-19 02:09:16.578993064,2025-05-11 02:09:16.578993064
CB000087,TXN00027310,AUTHORISATION,3720.89,2025-04-15 19:00:59.184151952,2025-06-01 19:00:59.184151952
CB000088,TXN00027331,PRODUCT_NOT_RECEIVED,116.87,2025-04-15 19:51:24.662044116,2025-05-22 19:51:24.662044116
CB000089,TXN00027886,SUBSCRIPTION_CANCELLED,14.62,2025-03-15 18:15:50.089461178,2025-05-12 18:15:50.089461178
CB000090,TXN00027923,PRODUCT_NOT_RECEIVED,10779.14,2025-04-15 19:33:11.110754938,2025-06-03 19:33:11.110754938
CB000091,TXN00027986,AUTHORISATION,31.09,2025-04-18 21:54:44.039136064,
CB000092,TXN00028279,FRAUD,5076.09,2025-04-25 08:58:27.445024802,
CB000093,TXN00028314,FRAUD,162.19,2025-03-29 10:31:01.806825954,2025-04-29 10:31:01.806825954
CB000094,TXN00029089,FRAUD,3077.7,2025-03-27 17:15:59.957524920,
CB000095,TXN00029284,FRAUD,70.45,2025-03-27 00:53:42.066232467,2025-05-05 00:53:42.066232467
CB000096,TXN00030630,DUPLICATE,45.7,2025-05-06 04:22:54.950173092,2025-05-17 04:22:54.950173092
CB000097,TXN00030665,PRODUCT_NOT_RECEIVED,39.75,2025-04-07 05:29:24.548471255,
CB000098,TXN00030955,FRAUD,6767.06,2025-03-24 15:50:24.681465930,2025-04-04 15:50:24.681465930
CB000099,TXN00031103,PRODUCT_NOT_RECEIVED,386.51,2025-03-16 21:48:59.556720602,2025-04-05 21:48:59.556720602
CB000100,TXN00031527,DUPLICATE,6614.43,2025-04-15 15:05:48.002388211,2025-06-05 15:05:48.002388211
CB000101,TXN00031761,FRAUD,2567.08,2025-03-21 23:43:07.639009225,2025-03-31 23:43:07.639009225
CB000102,TXN00032251,DUPLICATE,220.14,2025-03-14 18:40:08.565714534,2025-04-29 18:40:08.565714534
CB000103,TXN00032537,AUTHORISATION,48.64,2025-05-10 06:28:34.662195974,
CB000104,TXN00032853,SUBSCRIPTION_CANCELLED,263.53,2025-05-10 19:02:53.088654688,2025-06-04 19:02:53.088654688
CB000105,TXN00033139,FRAUD,40.0,2025-03-18 05:43:21.714180098,2025-04-27 05:43:21.714180098
CB000106,TXN00033157,FRAUD,1824.93,2025-04-02 06:17:32.440293313,2025-04-23 06:17:32.440293313
CB000107,TXN00033170,FRAUD,253.1,2025-04-20 06:39:47.897582192,2025-06-02 06:39:47.897582192
CB000108,TXN00033672,FRAUD,6.42,2025-05-02 02:25:21.171610617,2025-06-25 02:25:21.171610617
CB000109,TXN00035575,FRAUD,15.93,2025-03-24 09:31:41.604958528,2025-05-14 09:31:41.604958528
CB000110,TXN00036250,FRAUD,5510.92,2025-03-28 13:06:45.823839410,
CB000111,TXN00036309,SUBSCRIPTION_CANCELLED,21.78,2025-04-09 15:47:24.911572279,2025-05-14 15:47:24.911572279
CB000112,TXN00037924,PRODUCT_NOT_RECEIVED,13379.62,2025-04-12 10:21:07.595558653,
CB000113,TXN00037955,PRODUCT_NOT_RECEIVED,131.99,2025-05-09 11:57:38.182048369,2025-05-27 11:57:38.182048369
CB000114,TXN00038446,FRAUD,47880.45,2025-04-16 10:03:56.541990315,
CB000115,TXN00038779,DUPLICATE,4528.06,2025-05-03 00:01:35.696121826,2025-06-27 00:01:35.696121826
CB000116,TXN00039269,FRAUD,2879.04,2025-05-16 20:44:48.141762350,2025-07-01 20:44:48.141762350
CB000117,TXN00039283,SUBSCRIPTION_CANCELLED,372.7,2025-05-22 21:13:30.925363787,
CB000118,TXN00040020,FRAUD,2245.56,2025-05-09 03:43:48.275931801,2025-06-16 03:43:48.275931801
CB000119,TXN00040192,FRAUD,88.83,2025-04-22 12:11:41.857578004,2025-06-15 12:11:41.857578004
CB000120,TXN00040709,FRAUD,36.98,2025-04-29 10:25:30.142494768,
CB000121,TXN00041098,FRAUD,876.93,2025-05-10 02:16:12.592701127,2025-06-04 02:16:12.592701127
CB000122,TXN00041441,FRAUD,1403.16,2025-05-07 15:11:09.552967034,2025-06-01 15:11:09.552967034
CB000123,TXN00041472,PRODUCT_NOT_RECEIVED,2363.85,2025-04-30 16:59:08.836603522,
CB000124,TXN00041660,PRODUCT_NOT_RECEIVED,1379.89,2025-04-29 00:39:53.337367014,2025-06-27 00:39:53.337367014
CB000125,TXN00041664,PRODUCT_NOT_RECEIVED,1727.49,2025-05-14 00:51:29.908324189,2025-07-07 00:51:29.908324189
CB000126,TXN00041819,PRODUCT_NOT_RECEIVED,50.78,2025-05-10 06:47:23.810103977,2025-07-04 06:47:23.810103977
CB000127,TXN00042583,FRAUD,57.8,2025-04-16 12:55:02.054536249,2025-06-03 12:55:02.054536249
CB000128,TXN00042661,FRAUD,68.68,2025-05-08 15:44:17.815613380,2025-06-08 15:44:17.815613380
CB000129,TXN00043230,PRODUCT_NOT_RECEIVED,127.35,2025-04-25 14:56:25.149643295,2025-06-09 14:56:25.149643295
CB000130,TXN00043675,FRAUD,38.48,2025-04-12 08:33:09.392758772,
CB000131,TXN00044265,FRAUD,172.94,2025-05-15 09:38:22.036155288,2025-06-09 09:38:22.036155288
CB000132,TXN00045006,FRAUD,1761.44,2025-06-01 16:47:22.019917072,2025-07-09 16:47:22.019917072
CB000133,TXN00045388,FRAUD,221.83,2025-05-14 08:58:17.655578960,
CB000134,TXN00046155,SUBSCRIPTION_CANCELLED,3054.19,2025-04-26 15:25:56.825606806,
CB000135,TXN00047418,SUBSCRIPTION_CANCELLED,29.78,2025-04-18 21:07:30.823079672,2025-05-30 21:07:30.823079672
CB000136,TXN00048177,PRODUCT_NOT_RECEIVED,2672.12,2025-05-13 03:16:04.069913189,2025-06-24 03:16:04.069913189
CB000137,TXN00048813,FRAUD,93.43,2025-05-25 05:06:33.247492725,
CB000138,TXN00049189,FRAUD,773.75,2025-04-21 19:35:36.171448463,2025-06-07 19:35:36.171448463
CB000139,TXN00050194,FRAUD,3101.69,2025-05-12 12:32:35.093941123,2025-06-07 12:32:35.093941123
CB000140,TXN00050232,DUPLICATE,88.65,2025-05-25 13:51:35.757521335,2025-07-04 13:51:35.757521335
CB000141,TXN00051083,FRAUD,2305.73,2025-05-19 01:17:58.652855902,2025-06-11 01:17:58.652855902
CB000142,TXN00051100,FRAUD,37.88,2025-05-06 02:04:23.251195834,2025-06-02 02:04:23.251195834
CB000143,TXN00051321,FRAUD,4781.77,2025-04-21 10:39:19.958670831,2025-06-09 10:39:19.958670831
CB000144,TXN00051393,FRAUD,4437.65,2025-05-27 13:23:26.251389332,2025-06-10 13:23:26.251389332
CB000145,TXN00051800,FRAUD,4562.99,2025-06-12 03:55:36.231280221,
CB000146,TXN00052797,PRODUCT_NOT_RECEIVED,6199.57,2025-05-21 18:25:58.271933232,2025-06-18 18:25:58.271933232
CB000147,TXN00054124,PRODUCT_NOT_RECEIVED,2004.52,2025-05-19 21:07:53.866878083,
CB000148,TXN00054262,FRAUD,16351.55,2025-05-13 02:37:08.417139288,2025-06-18 02:37:08.417139288
CB000149,TXN00054594,SUBSCRIPTION_CANCELLED,4198.74,2025-06-07 14:14:34.016179366,2025-07-25 14:14:34.016179366
CB000150,TXN00054604,AUTHORISATION,106.0,2025-04-21 14:26:36.444893196,2025-05-09 14:26:36.444893196
CB000151,TXN00054666,FRAUD,1864.31,2025-06-12 16:24:21.991162452,2025-07-31 16:24:21.991162452
CB000152,TXN00055097,FRAUD,3949.07,2025-06-10 08:37:39.927917061,2025-07-15 08:37:39.927917061
CB000153,TXN00055496,FRAUD,2901.34,2025-05-25 00:48:44.642983581,2025-07-03 00:48:44.642983581
CB000154,TXN00055708,FRAUD,1807.39,2025-06-07 08:41:19.675051803,2025-07-30 08:41:19.675051803
CB000155,TXN00055714,PRODUCT_NOT_RECEIVED,56.29,2025-05-08 08:54:57.089747779,2025-05-23 08:54:57.089747779
CB000156,TXN00056098,FRAUD,695.62,2025-05-15 23:47:57.088449905,2025-06-10 23:47:57.088449905
CB000157,TXN00056127,DUPLICATE,258.0,2025-06-16 01:09:30.090435205,
CB000158,TXN00056147,FRAUD,9.62,2025-05-02 01:45:12.610620730,2025-06-05 01:45:12.610620730
CB000159,TXN00057118,FRAUD,1929.44,2025-05-03 13:20:35.144546442,2025-06-10 13:20:35.144546442
CB000160,TXN00057376,FRAUD,1359.35,2025-04-30 22:16:51.472894376,2025-06-06 22:16:51.472894376
CB000161,TXN00057449,DUPLICATE,1931.02,2025-06-22 00:51:19.057634637,
CB000162,TXN00059469,FRAUD,1636.82,2025-05-28 06:23:16.337748532,2025-06-13 06:23:16.337748532
CB000163,TXN00059727,FRAUD,2028.13,2025-05-27 17:04:11.790082565,
CB000164,TXN00060346,SUBSCRIPTION_CANCELLED,35.23,2025-06-09 17:38:22.535768783,
CB000165,TXN00060500,FRAUD,2161.67,2025-04-29 23:07:35.635986794,
CB000166,TXN00062455,FRAUD,96.03,2025-05-30 02:17:12.031581724,
CB000167,TXN00062542,FRAUD,32.77,2025-06-27 05:48:50.374016632,2025-08-17 05:48:50.374016632
CB000168,TXN00062746,FRAUD,1167.3,2025-05-19 13:08:54.437594411,2025-07-03 13:08:54.437594411
CB000169,TXN00063188,PRODUCT_NOT_RECEIVED,183.07,2025-05-14 06:52:58.856557929,2025-06-20 06:52:58.856557929
CB000170,TXN00063350,PRODUCT_NOT_RECEIVED,71.13,2025-06-12 12:31:32.216880787,2025-07-24 12:31:32.216880787
CB000171,TXN00063475,FRAUD,440.88,2025-06-27 17:24:51.291746118,2025-07-13 17:24:51.291746118
CB000172,TXN00063606,FRAUD,254.59,2025-05-11 21:46:36.118205991,2025-06-28 21:46:36.118205991
CB000173,TXN00063854,FRAUD,2449.43,2025-05-27 08:08:18.146847135,2025-06-28 08:08:18.146847135
CB000174,TXN00064092,SUBSCRIPTION_CANCELLED,3452.53,2025-07-02 17:41:34.829949642,2025-07-28 17:41:34.829949642
CB000175,TXN00064332,FRAUD,56.32,2025-06-02 02:46:38.408633203,2025-07-04 02:46:38.408633203
CB000176,TXN00064681,FRAUD,29.87,2025-06-28 15:12:18.587210025,2025-08-13 15:12:18.587210025
CB000177,TXN00065540,FRAUD,84.42,2025-05-26 00:20:49.649239887,2025-06-24 00:20:49.649239887
CB000178,TXN00065816,PRODUCT_NOT_RECEIVED,2570.1,2025-06-28 11:44:36.236189983,2025-08-22 11:44:36.236189983
CB000179,TXN00066213,SUBSCRIPTION_CANCELLED,153.91,2025-05-20 03:31:13.097452646,2025-06-01 03:31:13.097452646
CB000180,TXN00066261,PRODUCT_NOT_RECEIVED,2996.36,2025-05-24 05:43:51.241949745,2025-06-07 05:43:51.241949745
CB000181,TXN00066690,FRAUD,962.45,2025-07-04 22:21:25.406174200,2025-08-05 22:21:25.406174200
CB000182,TXN00066827,FRAUD,2667.52,2025-06-28 03:26:15.140522976,2025-07-17 03:26:15.140522976
CB000183,TXN00067318,FRAUD,8126.69,2025-07-02 20:43:43.365639249,2025-08-21 20:43:43.365639249
CB000184,TXN00067610,FRAUD,3.35,2025-06-13 07:35:08.378552690,2025-07-30 07:35:08.378552690
CB000185,TXN00067934,AUTHORISATION,10225.28,2025-07-05 19:57:00.263946954,2025-08-31 19:57:00.263946954
CB000186,TXN00068010,FRAUD,4469.65,2025-07-01 22:57:23.411037680,2025-08-18 22:57:23.411037680
CB000187,TXN00068103,DUPLICATE,10.85,2025-05-18 02:33:48.756117155,
CB000188,TXN00068182,FRAUD,6381.12,2025-05-30 05:53:21.951503974,2025-07-12 05:53:21.951503974
CB000189,TXN00068335,PRODUCT_NOT_RECEIVED,56.34,2025-06-02 11:56:15.505699235,2025-07-04 11:56:15.505699235
CB000190,TXN00068739,FRAUD,2138.85,2025-07-04 02:14:56.618724669,2025-08-04 02:14:56.618724669
CB000191,TXN00068867,SUBSCRIPTION_CANCELLED,3678.86,2025-07-04 06:55:07.319157095,2025-08-06 06:55:07.319157095
CB000192,TXN00069158,PRODUCT_NOT_RECEIVED,3049.78,2025-07-05 17:28:24.845744119,2025-07-16 17:28:24.845744119
CB000193,TXN00069224,DUPLICATE,59.07,2025-06-19 20:10:37.975518212,2025-06-30 20:10:37.975518212
CB000194,TXN00069718,FRAUD,2424.93,2025-05-20 13:36:30.191522871,2025-06-10 13:36:30.191522871
CB000195,TXN00070362,SUBSCRIPTION_CANCELLED,47.74,2025-07-01 14:41:40.452361787,
CB000196,TXN00070466,PRODUCT_NOT_RECEIVED,7.75,2025-05-29 18:23:46.424266186,2025-07-24 18:23:46.424266186
CB000197,TXN00070635,AUTHORISATION,66.01,2025-06-12 00:00:00.334808534,2025-07-29 00:00:00.334808534
CB000198,TXN00071544,FRAUD,1622.25,2025-05-23 08:52:42.638488664,2025-06-26 08:52:42.638488664
CB000199,TXN00071916,PRODUCT_NOT_RECEIVED,13175.74,2025-06-06 23:24:02.339532762,2025-07-04 23:24:02.339532762
CB000200,TXN00071982,AUTHORISATION,7226.37,2025-07-07 01:32:35.039346086,2025-08-08 01:32:35.039346086
CB000201,TXN00072866,FRAUD,60.41,2025-06-26 10:32:16.934630221,2025-08-09 10:32:16.934630221
CB000202,TXN00073676,FRAUD,5834.62,2025-07-16 15:54:48.673864789,2025-08-14 15:54:48.673864789
CB000203,TXN00073714,SUBSCRIPTION_CANCELLED,81.18,2025-06-23 17:48:22.198883721,2025-07-22 17:48:22.198883721
CB000204,TXN00074348,PRODUCT_NOT_RECEIVED,3920.47,2025-06-30 18:21:03.096383316,2025-08-07 18:21:03.096383316
CB000205,TXN00074933,FRAUD,25.21,2025-06-07 16:15:45.734984544,2025-07-31 16:15:45.734984544
CB000206,TXN00075992,FRAUD,17.54,2025-07-16 07:44:18.770786651,
CB000207,TXN00076344,DUPLICATE,97.25,2025-07-10 21:03:00.744408589,2025-08-11 21:03:00.744408589
CB000208,TXN00076446,AUTHORISATION,135.73,2025-05-30 01:25:49.985232251,2025-07-24 01:25:49.985232251
CB000209,TXN00076990,DUPLICATE,1576.41,2025-05-26 21:50:51.703965970,2025-06-29 21:50:51.703965970
CB000210,TXN00077136,PRODUCT_NOT_RECEIVED,4.4,2025-07-07 03:10:14.876404573,2025-07-30 03:10:14.876404573
CB000211,TXN00077203,PRODUCT_NOT_RECEIVED,2054.04,2025-07-11 05:34:56.402369949,
CB000212,TXN00078237,FRAUD,2124.21,2025-07-12 22:50:08.391376541,2025-09-07 22:50:08.391376541
CB000213,TXN00078581,PRODUCT_NOT_RECEIVED,4.34,2025-07-10 11:11:21.854587911,2025-08-07 11:11:21.854587911
CB000214,TXN00078828,FRAUD,2245.82,2025-07-10 20:56:04.367129608,2025-08-05 20:56:04.367129608
CB000215,TXN00079242,PRODUCT_NOT_RECEIVED,44.53,2025-06-20 12:21:01.927932250,
CB000216,TXN00079309,FRAUD,12.41,2025-07-26 15:08:41.297386433,
CB000217,TXN00079611,SUBSCRIPTION_CANCELLED,246.06,2025-07-26 00:52:57.254003005,2025-09-11 00:52:57.254003005
CB000218,TXN00080387,FRAUD,12.74,2025-07-29 06:45:40.848723416,2025-08-11 06:45:40.848723416
CB000219,TXN00080638,FRAUD,42.15,2025-06-30 15:40:45.310280951,2025-08-02 15:40:45.310280951
CB000220,TXN00080791,FRAUD,175.9,2025-06-24 21:14:49.468850979,2025-07-24 21:14:49.468850979
CB000221,TXN00081816,DUPLICATE,388.46,2025-07-02 13:05:18.677338606,
CB000222,TXN00081852,SUBSCRIPTION_CANCELLED,6810.69,2025-07-29 14:15:15.502874273,2025-09-06 14:15:15.502874273
CB000223,TXN00082177,PRODUCT_NOT_RECEIVED,1875.91,2025-07-05 02:27:05.188083286,2025-08-16 02:27:05.188083286
CB000224,TXN00082683,FRAUD,66.72,2025-07-20 21:11:37.630131798,2025-08-06 21:11:37.630131798
CB000225,TXN00082699,PRODUCT_NOT_RECEIVED,17.81,2025-06-29 21:54:10.244344552,2025-07-31 21:54:10.244344552
CB000226,TXN00082884,DUPLICATE,5368.9,2025-07-10 04:48:58.410709807,2025-08-15 04:48:58.410709807
CB000227,TXN00084426,PRODUCT_NOT_RECEIVED,4176.19,2025-06-16 14:30:05.564043104,
CB000228,TXN00084559,FRAUD,56.23,2025-06-09 19:56:37.687530628,
CB000229,TXN00084791,PRODUCT_NOT_RECEIVED,3213.76,2025-08-03 04:06:38.303915685,
CB000230,TXN00085329,FRAUD,3516.17,2025-07-29 00:44:43.870568052,2025-09-12 00:44:43.870568052
CB000231,TXN00085997,FRAUD,2912.98,2025-07-05 01:29:51.091091929,2025-07-28 01:29:51.091091929
CB000232,TXN00086107,PRODUCT_NOT_RECEIVED,229.19,2025-07-21 04:56:04.397149843,2025-08-22 04:56:04.397149843
CB000233,TXN00086539,FRAUD,123.18,2025-07-18 21:00:16.623224603,2025-08-08 21:00:16.623224603
CB000234,TXN00086607,FRAUD,13.78,2025-07-14 23:32:10.943839310,2025-08-21 23:32:10.943839310
CB000235,TXN00087016,PRODUCT_NOT_RECEIVED,186.39,2025-06-21 13:25:48.879526929,2025-07-04 13:25:48.879526929
CB000236,TXN00087425,FRAUD,3420.39,2025-06-29 04:59:12.886254355,2025-08-15 04:59:12.886254355
CB000237,TXN00088025,FRAUD,13756.59,2025-06-20 03:51:19.723811530,2025-08-02 03:51:19.723811530
CB000238,TXN00088955,SUBSCRIPTION_CANCELLED,141.47,2025-08-05 13:43:13.148665399,
CB000239,TXN00089927,FRAUD,4657.95,2025-08-05 01:33:07.392823986,2025-10-03 01:33:07.392823986
CB000240,TXN00091016,FRAUD,1539.45,2025-07-31 16:43:04.361873705,2025-09-10 16:43:04.361873705
CB000241,TXN00091215,AUTHORISATION,4754.07,2025-07-22 23:33:30.906932076,2025-08-06 23:33:30.906932076
CB000242,TXN00091266,FRAUD,712.14,2025-07-02 01:22:07.419089302,2025-07-17 01:22:07.419089302
CB000243,TXN00091345,SUBSCRIPTION_CANCELLED,1084.83,2025-08-05 04:34:49.254042021,2025-08-27 04:34:49.254042021
CB000244,TXN00092083,PRODUCT_NOT_RECEIVED,14.4,2025-07-22 06:45:16.605320436,2025-08-24 06:45:16.605320436
