merchant_id,category,country,pricing_plan,risk_tier
MER00089,DIGITAL_GOODS,IN,TIERED,LOW
MER00090,SERVICES,IN,TIERED,HIGH
MER00091,ELECTRONICS,IN,ENTERPRISE_NEGOTIATED,HIGH
MER00092,SERVICES,IN,TIERED,MEDIUM
MER00093,GAMING,IN,TIERED,MEDIUM
MER00094,GAMING,IN,FLAT_2_0,MEDIUM
MER00095,DIGITAL_GOODS,IN,FLAT_2_0,LOW
MER00096,GROCERY,AE,INTERCHANGE_PLUS,MEDIUM
MER00097,ELECTRONICS,IN,INTERCHANGE_PLUS,HIGH
MER00098,GAMING,IN,FLAT_2_0,HIGH
MER00099,SERVICES,IN,FLAT_2_0,MEDIUM
MER00100,SERVICES,SG,TIERED,LOW
MER00101,SERVICES,IN,TIERED,MEDIUM
MER00102,DIGITAL_GOODS,AE,FLAT_2_0,LOW
MER00103,DIGITAL_GOODS,IN,FLAT_2_0,LOW
MER00104,TRAVEL,IN,ENTERPRISE_NEGOTIATED,MEDIUM
MER00105,SERVICES,IN,TIERED,LOW
MER00106,DIGITAL_GOODS,IN,TIERED,LOW
MER00107,TRAVEL,IN,INTERCHANGE_PLUS,LOW
MER00108,TRAVEL,IN,ENTERPRISE_NEGOTIATED,MEDIUM
MER00109,DIGITAL_GOODS,AE,FLAT_2_0,MEDIUM
MER00110,DIGITAL_GOODS,SG,TIERED,MEDIUM
MER00111,SERVICES,AE,INTERCHANGE_PLUS,LOW
MER00112,GAMING,AE,FLAT_2_0,HIGH
MER00113,TRAVEL,IN,ENTERPRISE_NEGOTIATED,LOW
MER00114,DIGITAL_GOODS,SG,FLAT_2_0,LOW
MER00115,TRAVEL,IN,INTERCHANGE_PLUS,MEDIUM
MER00116,TRAVEL,SG,INTERCHANGE_PLUS,LOW
MER00117,SERVICES,SG,INTERCHANGE_PLUS,LOW
MER00118,ELECTRONICS,SG,ENTERPRISE_NEGOTIATED,LOW
MER00119,GROCERY,IN,INTERCHANGE_PLUS,HIGH
MER00120,ELECTRONICS,IN,INTERCHANGE_PLUS,LOW
MER00121,SERVICES,AE,TIERED,MEDIUM
MER00122,GROCERY,IN,TIERED,LOW
MER00123,GAMING,IN,FLAT_2_0,HIGH
MER00124,TRAVEL,IN,TIERED,MEDIUM
MER00125,DIGITAL_GOODS,SG,FLAT_2_0,LOW
MER00126,DIGITAL_GOODS,IN,FLAT_2_0,LOW
MER00127,GROCERY,AE,TIERED,LOW
MER00128,GROCERY,SG,FLAT_2_0,MEDIUM
MER00129,TRAVEL,SG,TIERED,MEDIUM
MER00130,GROCERY,IN,TIERED,MEDIUM
MER00131,ELECTRONICS,IN,ENTERPRISE_NEGOTIATED,LOW
MER00132,GROCERY,SG,INTERCHANGE_PLUS,MEDIUM
MER00133,GROCERY,IN,INTERCHANGE_PLUS,LOW
MER00134,ELECTRONICS,IN,INTERCHANGE_PLUS,LOW
MER00135,ELECTRONICS,SG,ENTERPRISE_NEGOTIATED,LOW
MER00136,ELECTRONICS,SG,INTERCHANGE_PLUS,LOW
MER00137,DIGITAL_GOODS,AE,FLAT_2_0,LOW
MER00138,SERVICES,SG,TIERED,HIGH
MER00139,GROCERY,IN,TIERED,HIGH
MER00140,SERVICES,AE,FLAT_2_0,MEDIUM
MER00141,DIGITAL_GOODS,AE,FLAT_2_0,LOW
MER00142,GAMING,IN,FLAT_2_0,HIGH
MER00143,TRAVEL,IN,TIERED,LOW
MER00144,GAMING,IN,FLAT_2_0,HIGH
MER00145,SERVICES,SG,INTERCHANGE_PLUS,LOW
MER00146,GROCERY,IN,INTERCHANGE_PLUS,LOW
MER00147,DIGITAL_GOODS,IN,FLAT_2_0,MEDIUM
MER00148,TRAVEL,IN,INTERCHANGE_PLUS,LOW
MER00149,GROCERY,SG,TIERED,MEDIUM
MER00150,DIGITAL_GOODS,IN,TIERED,MEDIUM
MER00151,DIGITAL_GOODS,IN,FLAT_2_0,MEDIUM
MER00152,DIGITAL_GOODS,SG,FLAT_2_0,MEDIUM
MER00153,DIGITAL_GOODS,SG,FLAT_2_0,LOW
MER00154,DIGITAL_GOODS,IN,FLAT_2_0,LOW
MER00155,GROCERY,IN,TIERED,LOW
MER00156,TRAVEL,IN,INTERCHANGE_PLUS,LOW
MER00157,DIGITAL_GOODS,IN,FLAT_2_0,LOW
MER00158,GROCERY,IN,TIERED,LOW
MER00159,SERVICES,IN,FLAT_2_0,LOW
MER00160,SERVICES,IN,FLAT_2_0,LOW
MER00161,GAMING,SG,FLAT_2_0,HIGH
MER00162,TRAVEL,IN,ENTERPRISE_NEGOTIATED,LOW
MER00163,GROCERY,AE,INTERCHANGE_PLUS,HIGH
MER00164,GROCERY,IN,TIERED,MEDIUM
MER00165,DIGITAL_GOODS,IN,FLAT_2_0,LOW
MER00166,GAMING,SG,FLAT_2_0,MEDIUM
MER00167,ELECTRONICS,AE,INTERCHANGE_PLUS,MEDIUM
MER00168,GAMING,IN,FLAT_2_0,HIGH
MER00169,GAMING,AE,TIERED,MEDIUM
MER00170,DIGITAL_GOODS,SG,FLAT_2_0,LOW
MER00171,DIGITAL_GOODS,IN,FLAT_2_0,LOW
MER00172,TRAVEL,SG,ENTERPRISE_NEGOTIATED,MEDIUM
MER00173,SERVICES,IN,INTERCHANGE_PLUS,MEDIUM
MER00174,ELECTRONICS,IN,INTERCHANGE_PLUS,LOW
MER00175,GROCERY,IN,INTERCHANGE_PLUS,MEDIUM
MER00176,GAMING,IN,FLAT_2_0,HIGH
MER00177,SERVICES,IN,INTERCHANGE_PLUS,LOW
MER00178,GAMING,IN,TIERED,HIGH
MER00179,TRAVEL,IN,ENTERPRISE_NEGOTIATED,MEDIUM
MER00180,SERVICES,IN,TIERED,LOW
MER00181,ELECTRONICS,SG,TIERED,MEDIUM
MER00182,GROCERY,SG,FLAT_2_0,LOW
MER00183,TRAVEL,SG,ENTERPRISE_NEGOTIATED,LOW
MER00184,TRAVEL,AE,ENTERPRISE_NEGOTIATED,MEDIUM
MER00185,GROCERY,AE,INTERCHANGE_PLUS,MEDIUM
MER00186,ELECTRONICS,IN,ENTERPRISE_NEGOTIATED,LOW
MER00187,SERVICES,IN,TIERED,HIGH
MER00188,GAMING,SG,FLAT_2_0,MEDIUM
MER00189,TRAVEL,IN,INTERCHANGE_PLUS,LOW
MER00190,SERVICES,IN,TIERED,LOW
MER00191,GROCERY,AE,TIERED,LOW
MER00192,TRAVEL,IN,ENTERPRISE_NEGOTIATED,HIGH
MER00193,SERVICES,IN,INTERCHANGE_PLUS,LOW
MER00194,GAMING,SG,TIERED,MEDIUM
MER00195,GAMING,AE,FLAT_2_0,HIGH
MER00196,DIGITAL_GOODS,AE,FLAT_2_0,LOW
MER00197,SERVICES,AE,FLAT_2_0,HIGH
MER00198,DIGITAL_GOODS,IN,TIERED,MEDIUM
MER00199,SERVICES,SG,TIERED,LOW
MER00200,GROCERY,IN,FLAT_2_0,MEDIUM
MER00201,GROCERY,AE,TIERED,MEDIUM
MER00202,GAMING,IN,FLAT_2_0,MEDIUM
MER00203,TRAVEL,IN,INTERCHANGE_PLUS,MEDIUM
MER00204,GAMING,AE,FLAT_2_0,MEDIUM
MER00205,GROCERY,SG,FLAT_2_0,MEDIUM
MER00206,SERVICES,IN,TIERED,MEDIUM
MER00207,GAMING,IN,FLAT_2_0,MEDIUM
MER00208,GROCERY,IN,INTERCHANGE_PLUS,MEDIUM
MER00209,DIGITAL_GOODS,SG,FLAT_2_0,HIGH
MER00210,SERVICES,SG,INTERCHANGE_PLUS,LOW
MER00211,GROCERY,IN,TIERED,LOW
MER00212,TRAVEL,SG,ENTERPRISE_NEGOTIATED,LOW
MER00213,TRAVEL,IN,ENTERPRISE_NEGOTIATED,LOW
MER00214,GROCERY,AE,FLAT_2_0,MEDIUM
MER00215,GROCERY,SG,INTERCHANGE_PLUS,LOW
MER00216,TRAVEL,AE,INTERCHANGE_PLUS,LOW
MER00217,TRAVEL,IN,ENTERPRISE_NEGOTIATED,LOW
MER00218,GAMING,AE,FLAT_2_0,MEDIUM
MER00219,GROCERY,AE,INTERCHANGE_PLUS,LOW
MER00220,GROCERY,IN,FLAT_2_0,HIGH
MER00221,SERVICES,AE,INTERCHANGE_PLUS,LOW
MER00222,SERVICES,SG,TIERED,LOW
MER00223,DIGITAL_GOODS,AE,TIERED,LOW
MER00224,DIGITAL_GOODS,SG,FLAT_2_0,MEDIUM
MER00225,DIGITAL_GOODS,AE,FLAT_2_0,LOW
MER00226,GAMING,IN,FLAT_2_0,HIGH
MER00227,SERVICES,IN,TIERED,LOW
MER00228,TRAVEL,IN,INTERCHANGE_PLUS,LOW
MER00229,DIGITAL_GOODS,SG,FLAT_2_0,LOW
MER00230,SERVICES,IN,INTERCHANGE_PLUS,LOW
MER00231,SERVICES,IN,TIERED,LOW
MER00232,GROCERY,IN,FLAT_2_0,MEDIUM
MER00233,GAMING,AE,FLAT_2_0,MEDIUM
MER00234,SERVICES,SG,TIERED,MEDIUM
MER00235,DIGITAL_GOODS,IN,FLAT_2_0,HIGH
MER00236,DIGITAL_GOODS,IN,FLAT_2_0,MEDIUM
MER00237,DIGITAL_GOODS,AE,FLAT_2_0,MEDIUM
MER00238,SERVICES,IN,TIERED,LOW
MER00239,ELECTRONICS,SG,INTERCHANGE_PLUS,LOW
MER00240,SERVICES,AE,FLAT_2_0,LOW
MER00241,SERVICES,AE,INTERCHANGE_PLUS,LOW
MER00242,SERVICES,IN,INTERCHANGE_PLUS,LOW
MER00243,GROCERY,SG,TIERED,LOW
MER00244,DIGITAL_GOODS,AE,TIERED,LOW
MER00245,TRAVEL,IN,ENTERPRISE_NEGOTIATED,MEDIUM
MER00246,GROCERY,SG,TIERED,LOW
MER00247,ELECTRONICS,SG,INTERCHANGE_PLUS,LOW
MER00248,DIGITAL_GOODS,IN,FLAT_2_0,LOW
MER00249,GROCERY,IN,TIERED,LOW
MER00250,ELECTRONICS,IN,TIERED,LOW
MER00251,TRAVEL,IN,ENTERPRISE_NEGOTIATED,MEDIUM
MER00252,GAMING,IN,FLAT_2_0,HIGH
MER00253,SERVICES,IN,TIERED,LOW
MER00254,GROCERY,SG,FLAT_2_0,LOW
MER00255,SERVICES,AE,TIERED,MEDIUM
MER00256,GROCERY,AE,TIERED,LOW
MER00257,GROCERY,AE,TIERED,LOW
MER00258,DIGITAL_GOODS,SG,FLAT_2_0,LOW
MER00259,GROCERY,IN,TIERED,HIGH
MER00260,SERVICES,IN,TIERED,LOW
MER00261,GAMING,SG,FLAT_2_0,MEDIUM
MER00262,SERVICES,AE,TIERED,MEDIUM
MER00263,DIGITAL_GOODS,IN,FLAT_2_0,LOW
MER00264,TRAVEL,SG,ENTERPRISE_NEGOTIATED,LOW
MER00265,DIGITAL_GOODS,AE,FLAT_2_0,MEDIUM
MER00266,GROCERY,SG,FLAT_2_0,HIGH
MER00267,GAMING,SG,FLAT_2_0,MEDIUM
MER00268,TRAVEL,AE,INTERCHANGE_PLUS,MEDIUM
MER00269,TRAVEL,SG,ENTERPRISE_NEGOTIATED,LOW
MER00270,SERVICES,IN,TIERED,MEDIUM
MER00271,ELECTRONICS,AE,TIERED,MEDIUM
MER00272,GAMING,AE,FLAT_2_0,HIGH
MER00273,GAMING,IN,FLAT_2_0,HIGH
MER00274,DIGITAL_GOODS,AE,FLAT_2_0,LOW
MER00275,GAMING,IN,FLAT_2_0,MEDIUM
MER00276,GAMING,AE,TIERED,MEDIUM
MER00277,SERVICES,AE,TIERED,HIGH
MER00278,GAMING,IN,FLAT_2_0,MEDIUM
MER00279,ELECTRONICS,AE,TIERED,HIGH
MER00280,GROCERY,IN,TIERED,LOW
MER00281,SERVICES,AE,TIERED,LOW
MER00282,TRAVEL,SG,ENTERPRISE_NEGOTIATED,MEDIUM
MER00283,GAMING,IN,FLAT_2_0,MEDIUM
MER00284,DIGITAL_GOODS,AE,FLAT_2_0,LOW
MER00285,DIGITAL_GOODS,IN,FLAT_2_0,MEDIUM
MER00286,SERVICES,IN,TIERED,LOW
MER00287,DIGITAL_GOODS,SG,FLAT_2_0,HIGH
MER00288,GROCERY,IN,INTERCHANGE_PLUS,MEDIUM
MER00289,SERVICES,IN,INTERCHANGE_PLUS,MEDIUM
MER00290,TRAVEL,SG,INTERCHANGE_PLUS,LOW
MER00291,SERVICES,IN,TIERED,LOW
MER00292,GAMING,IN,FLAT_2_0,HIGH
MER00293,DIGITAL_GOODS,SG,TIERED,LOW
MER00294,SERVICES,IN,INTERCHANGE_PLUS,LOW
MER00295,GROCERY,IN,FLAT_2_0,MEDIUM
MER00296,SERVICES,IN,FLAT_2_0,MEDIUM
MER00297,DIGITAL_GOODS,IN,FLAT_2_0,LOW
MER00298,TRAVEL,SG,ENTERPRISE_NEGOTIATED,MEDIUM
MER00299,SERVICES,IN,TIERED,HIGH
MER00300,DIGITAL_GOODS,AE,FLAT_2_0,LOW
MER00301,SERVICES,IN,INTERCHANGE_PLUS,LOW
MER00302,DIGITAL_GOODS,IN,FLAT_2_0,LOW
MER00303,GAMING,AE,TIERED,HIGH
MER00304,SERVICES,IN,INTERCHANGE_PLUS,MEDIUM
MER00305,ELECTRONICS,SG,TIERED,LOW
MER00306,GROCERY,IN,INTERCHANGE_PLUS,MEDIUM
MER00307,SERVICES,AE,TIERED,MEDIUM
MER00308,DIGITAL_GOODS,IN,FLAT_2_0,LOW
MER00309,SERVICES,IN,INTERCHANGE_PLUS,LOW
MER00310,SERVICES,SG,TIERED,LOW
MER00311,SERVICES,IN,FLAT_2_0,LOW
MER00312,DIGITAL_GOODS,AE,FLAT_2_0,LOW
MER00313,SERVICES,AE,INTERCHANGE_PLUS,LOW
MER00314,SERVICES,AE,TIERED,LOW
MER00315,SERVICES,IN,INTERCHANGE_PLUS,MEDIUM
MER00316,GAMING,SG,FLAT_2_0,MEDIUM
MER00317,GROCERY,IN,TIERED,LOW
MER00318,DIGITAL_GOODS,IN,TIERED,LOW
MER00319,GROCERY,IN,INTERCHANGE_PLUS,LOW
MER00320,SERVICES,IN,TIERED,MEDIUM
MER00321,DIGITAL_GOODS,IN,TIERED,LOW
MER00322,SERVICES,SG,FLAT_2_0,MEDIUM
MER00323,GROCERY,IN,TIERED,LOW
MER00324,ELECTRONICS,IN,ENTERPRISE_NEGOTIATED,LOW
MER00325,GROCERY,IN,FLAT_2_0,MEDIUM
MER00326,DIGITAL_GOODS,SG,FLAT_2_0,LOW
MER00327,DIGITAL_GOODS,SG,FLAT_2_0,LOW
MER00328,SERVICES,IN,TIERED,MEDIUM
MER00329,DIGITAL_GOODS,SG,FLAT_2_0,MEDIUM
MER00330,SERVICES,AE,TIERED,LOW
MER00331,GROCERY,IN,TIERED,MEDIUM
MER00332,ELECTRONICS,AE,ENTERPRISE_NEGOTIATED,LOW
MER00333,DIGITAL_GOODS,AE,FLAT_2_0,MEDIUM
MER00334,GROCERY,AE,INTERCHANGE_PLUS,LOW
MER00335,SERVICES,IN,INTERCHANGE_PLUS,LOW
MER00336,GAMING,IN,FLAT_2_0,MEDIUM
MER00337,TRAVEL,SG,ENTERPRISE_NEGOTIATED,MEDIUM
MER00338,GROCERY,IN,TIERED,LOW
MER00339,SERVICES,IN,INTERCHANGE_PLUS,MEDIUM
MER00340,GAMING,IN,FLAT_2_0,HIGH
MER00341,DIGITAL_GOODS,IN,FLAT_2_0,LOW
MER00342,SERVICES,IN,INTERCHANGE_PLUS,MEDIUM
MER00343,GROCERY,IN,TIERED,MEDIUM
MER00344,TRAVEL,SG,ENTERPRISE_NEGOTIATED,MEDIUM
MER00345,GROCERY,IN,INTERCHANGE_PLUS,LOW
MER00346,ELECTRONICS,IN,ENTERPRISE_NEGOTIATED,LOW
MER00347,ELECTRONICS,AE,INTERCHANGE_PLUS,HIGH
MER00348,ELECTRONICS,SG,TIERED,LOW
MER00349,GROCERY,IN,TIERED,MEDIUM
MER00350,GROCERY,IN,INTERCHANGE_PLUS,LOW
MER00351,DIGITAL_GOODS,SG,FLAT_2_0,MEDIUM
MER00352,DIGITAL_GOODS,SG,TIERED,MEDIUM
MER00353,DIGITAL_GOODS,AE,FLAT_2_0,HIGH
MER00354,SERVICES,IN,FLAT_2_0,MEDIUM
MER00355,DIGITAL_GOODS,SG,FLAT_2_0,LOW
MER00356,SERVICES,IN,FLAT_2_0,LOW
MER00357,SERVICES,AE,INTERCHANGE_PLUS,MEDIUM
MER00358,DIGITAL_GOODS,IN,FLAT_2_0,MEDIUM
MER00359,GAMING,IN,FLAT_2_0,HIGH
MER00360,DIGITAL_GOODS,SG,FLAT_2_0,LOW
MER00361,DIGITAL_GOODS,SG,FLAT_2_0,MEDIUM
MER00362,SERVICES,SG,TIERED,LOW
MER00363,GAMING,IN,FLAT_2_0,HIGH
MER00364,GROCERY,AE,TIERED,MEDIUM
MER00365,GROCERY,SG,INTERCHANGE_PLUS,LOW
MER00366,SERVICES,IN,INTERCHANGE_PLUS,LOW
MER00367,DIGITAL_GOODS,AE,FLAT_2_0,MEDIUM
MER00368,SERVICES,IN,TIERED,LOW
MER00369,DIGITAL_GOODS,SG,FLAT_2_0,MEDIUM
MER00370,GAMING,IN,FLAT_2_0,HIGH
MER00371,TRAVEL,IN,ENTERPRISE_NEGOTIATED,LOW
MER00372,GAMING,IN,FLAT_2_0,MEDIUM
MER00373,SERVICES,IN,TIERED,LOW
MER00374,GAMING,IN,FLAT_2_0,MEDIUM
MER00375,GROCERY,IN,TIERED,MEDIUM
MER00376,DIGITAL_GOODS,SG,TIERED,LOW
MER00377,TRAVEL,IN,INTERCHANGE_PLUS,LOW
MER00378,SERVICES,SG,FLAT_2_0,MEDIUM
MER00379,TRAVEL,IN,INTERCHANGE_PLUS,LOW
MER00380,DIGITAL_GOODS,IN,FLAT_2_0,LOW
MER00381,TRAVEL,IN,ENTERPRISE_NEGOTIATED,MEDIUM
MER00382,SERVICES,SG,TIERED,LOW
MER00383,SERVICES,IN,INTERCHANGE_PLUS,LOW
MER00384,GROCERY,AE,INTERCHANGE_PLUS,LOW
MER00385,SERVICES,SG,TIERED,LOW
MER00386,GROCERY,AE,INTERCHANGE_PLUS,LOW
MER00387,GAMING,IN,FLAT_2_0,HIGH
MER00388,SERVICES,SG,INTERCHANGE_PLUS,LOW
MER00389,TRAVEL,SG,ENTERPRISE_NEGOTIATED,HIGH
MER00390,DIGITAL_GOODS,IN,FLAT_2_0,LOW
MER00391,ELECTRONICS,AE,INTERCHANGE_PLUS,MEDIUM
MER00392,SERVICES,IN,FLAT_2_0,LOW
MER00393,GAMING,IN,FLAT_2_0,MEDIUM
MER00394,DIGITAL_GOODS,SG,FLAT_2_0,LOW
MER00395,DIGITAL_GOODS,IN,FLAT_2_0,MEDIUM
MER00396,GROCERY,IN,TIERED,LOW
MER00397,DIGITAL_GOODS,SG,FLAT_2_0,LOW
MER00398,GAMING,IN,FLAT_2_0,HIGH
MER00399,GAMING,SG,FLAT_2_0,HIGH
MER00400,DIGITAL_GOODS,IN,FLAT_2_0,MEDIUM
MER00401,TRAVEL,AE,ENTERPRISE_NEGOTIATED,LOW
MER00402,ELECTRONICS,IN,INTERCHANGE_PLUS,MEDIUM
MER00403,DIGITAL_GOODS,IN,FLAT_2_0,MEDIUM
MER00404,SERVICES,IN,TIERED,LOW
MER00405,ELECTRONICS,SG,ENTERPRISE_NEGOTIATED,LOW
MER00406,ELECTRONICS,IN,INTERCHANGE_PLUS,MEDIUM
MER00407,DIGITAL_GOODS,IN,TIERED,LOW
MER00408,ELECTRONICS,IN,ENTERPRISE_NEGOTIATED,LOW
MER00409,SERVICES,IN,TIERED,LOW
MER00410,ELECTRONICS,AE,INTERCHANGE_PLUS,LOW
MER00411,SERVICES,SG,TIERED,LOW
MER00412,GAMING,IN,FLAT_2_0,HIGH
MER00413,TRAVEL,IN,ENTERPRISE_NEGOTIATED,MEDIUM
MER00414,GROCERY,SG,TIERED,LOW
MER00415,GROCERY,AE,INTERCHANGE_PLUS,MEDIUM
MER00416,SERVICES,IN,TIERED,HIGH
MER00417,DIGITAL_GOODS,AE,FLAT_2_0,LOW
MER00418,DIGITAL_GOODS,IN,FLAT_2_0,MEDIUM
MER00419,GROCERY,IN,TIERED,LOW
MER00420,GAMING,AE,TIERED,MEDIUM
MER00421,ELECTRONICS,SG,INTERCHANGE_PLUS,LOW
MER00422,GROCERY,IN,FLAT_2_0,LOW
MER00423,DIGITAL_GOODS,AE,TIERED,LOW
MER00424,TRAVEL,AE,INTERCHANGE_PLUS,LOW
MER00425,SERVICES,AE,FLAT_2_0,LOW
MER00426,SERVICES,SG,TIERED,HIGH
MER00427,SERVICES,SG,TIERED,MEDIUM
MER00428,DIGITAL_GOODS,IN,FLAT_2_0,MEDIUM
MER00429,GAMING,IN,FLAT_2_0,MEDIUM
MER00430,TRAVEL,IN,INTERCHANGE_PLUS,HIGH
MER00431,ELECTRONICS,AE,TIERED,HIGH
MER00432,DIGITAL_GOODS,IN,TIERED,MEDIUM
MER00433,DIGITAL_GOODS,AE,FLAT_2_0,MEDIUM
MER00434,GROCERY,IN,INTERCHANGE_PLUS,LOW
MER00435,TRAVEL,IN,INTERCHANGE_PLUS,MEDIUM
MER00436,SERVICES,IN,TIERED,LOW
MER00437,ELECTRONICS,IN,ENTERPRISE_NEGOTIATED,MEDIUM
MER00438,GAMING,IN,FLAT_2_0,HIGH
MER00439,SERVICES,IN,TIERED,LOW
MER00440,GROCERY,SG,INTERCHANGE_PLUS,HIGH
MER00441,GROCERY,IN,TIERED,MEDIUM
MER00442,SERVICES,IN,INTERCHANGE_PLUS,MEDIUM
MER00443,TRAVEL,IN,INTERCHANGE_PLUS,LOW
MER00444,TRAVEL,IN,ENTERPRISE_NEGOTIATED,LOW
MER00445,DIGITAL_GOODS,AE,TIERED,LOW
MER00446,SERVICES,AE,INTERCHANGE_PLUS,MEDIUM
MER00447,ELECTRONICS,IN,INTERCHANGE_PLUS,LOW
MER00448,TRAVEL,IN,ENTERPRISE_NEGOTIATED,LOW
MER00449,GAMING,IN,FLAT_2_0,HIGH
MER00450,GAMING,SG,TIERED,HIGH
MER00451,SERVICES,IN,TIERED,LOW
MER00452,TRAVEL,SG,ENTERPRISE_NEGOTIATED,MEDIUM
