rate_date,currency,rate_to_usd,rate_type
2025-01-13,USD,1.0,MID
2025-01-13,USD,1.0,SETTLEMENT
2025-01-14,AED,0.27168637,MID
2025-01-14,AED,0.27073547,SETTLEMENT
2025-01-14,INR,0.01204001,MID
2025-01-14,INR,0.01199787,SETTLEMENT
2025-01-14,SGD,0.74440217,MID
2025-01-14,SGD,0.74179676,SETTLEMENT
2025-01-14,USD,1.0,MID
2025-01-14,USD,1.0,SETTLEMENT
2025-01-15,AED,0.27232644,MID
2025-01-15,AED,0.27137329,SETTLEMENT
2025-01-15,INR,0.01202861,MID
2025-01-15,INR,0.01198651,SETTLEMENT
2025-01-15,SGD,0.74252363,MID
2025-01-15,SGD,0.7399248,SETTLEMENT
2025-01-15,USD,1.0,MID
2025-01-15,USD,1.0,SETTLEMENT
2025-01-16,AED,0.27259823,MID
2025-01-16,AED,0.27164414,SETTLEMENT
2025-01-16,INR,0.01200759,MID
2025-01-16,INR,0.01196556,SETTLEMENT
2025-01-16,SGD,0.74298765,MID
2025-01-16,SGD,0.74038719,SETTLEMENT
2025-01-16,USD,1.0,MID
2025-01-16,USD,1.0,SETTLEMENT
2025-01-17,AED,0.27288145,MID
2025-01-17,AED,0.27192636,SETTLEMENT
2025-01-17,INR,0.01202342,MID
2025-01-17,INR,0.01198134,SETTLEMENT
2025-01-17,SGD,0.74401864,MID
2025-01-17,SGD,0.74141458,SETTLEMENT
2025-01-17,USD,1.0,MID
2025-01-17,USD,1.0,SETTLEMENT
2025-01-18,AED,0.27246278,MID
2025-01-18,AED,0.27150916,SETTLEMENT
2025-01-18,INR,0.0120024,MID
2025-01-18,INR,0.01196039,SETTLEMENT
2025-01-18,SGD,0.74138288,MID
2025-01-18,SGD,0.73878804,SETTLEMENT
2025-01-18,USD,1.0,MID
2025-01-18,USD,1.0,SETTLEMENT
2025-01-19,AED,0.27217262,MID
2025-01-19,AED,0.27122001,SETTLEMENT
2025-01-19,INR,0.01202701,MID
2025-01-19,INR,0.01198491,SETTLEMENT
2025-01-19,SGD,0.74165527,MID
2025-01-19,SGD,0.73905947,SETTLEMENT
2025-01-19,USD,1.0,MID
2025-01-19,USD,1.0,SETTLEMENT
2025-01-20,AED,0.27200224,MID
2025-01-20,AED,0.27105024,SETTLEMENT
2025-01-20,INR,0.01201174,MID
2025-01-20,INR,0.0119697,SETTLEMENT
2025-01-20,SGD,0.74130351,MID
2025-01-20,SGD,0.73870895,SETTLEMENT
2025-01-20,USD,1.0,MID
2025-01-20,USD,1.0,SETTLEMENT
2025-01-21,AED,0.27229782,MID
2025-01-21,AED,0.27134478,SETTLEMENT
2025-01-21,INR,0.01200792,MID
2025-01-21,INR,0.01196589,SETTLEMENT
2025-01-21,SGD,0.74198274,MID
2025-01-21,SGD,0.7393858,SETTLEMENT
2025-01-21,USD,1.0,MID
2025-01-21,USD,1.0,SETTLEMENT
2025-01-22,AED,0.27219629,MID
2025-01-22,AED,0.2712436,SETTLEMENT
2025-01-22,INR,0.01199889,MID
2025-01-22,INR,0.01195689,SETTLEMENT
2025-01-22,SGD,0.7430421,MID
2025-01-22,SGD,0.74044145,SETTLEMENT
2025-01-22,USD,1.0,MID
2025-01-22,USD,1.0,SETTLEMENT
2025-01-23,AED,0.2719624,MID
2025-01-23,AED,0.27101053,SETTLEMENT
2025-01-23,INR,0.01202443,MID
2025-01-23,INR,0.01198235,SETTLEMENT
2025-01-23,SGD,0.74307723,MID
2025-01-23,SGD,0.74047646,SETTLEMENT
2025-01-23,USD,1.0,MID
2025-01-23,USD,1.0,SETTLEMENT
2025-01-24,AED,0.27296351,MID
2025-01-24,AED,0.27200814,SETTLEMENT
2025-01-24,INR,0.01200271,MID
2025-01-24,INR,0.0119607,SETTLEMENT
2025-01-24,SGD,0.74281609,MID
2025-01-24,SGD,0.74021624,SETTLEMENT
2025-01-24,USD,1.0,MID
2025-01-24,USD,1.0,SETTLEMENT
2025-01-25,AED,0.27287739,MID
2025-01-25,AED,0.27192232,SETTLEMENT
2025-01-25,INR,0.01199689,MID
2025-01-25,INR,0.0119549,SETTLEMENT
2025-01-25,SGD,0.74127089,MID
2025-01-25,SGD,0.73867644,SETTLEMENT
2025-01-25,USD,1.0,MID
2025-01-25,USD,1.0,SETTLEMENT
2025-01-26,AED,0.27266528,MID
2025-01-26,AED,0.27171096,SETTLEMENT
2025-01-26,INR,0.01199611,MID
2025-01-26,INR,0.01195412,SETTLEMENT
2025-01-26,SGD,0.74043124,MID
2025-01-26,SGD,0.73783973,SETTLEMENT
2025-01-26,USD,1.0,MID
2025-01-26,USD,1.0,SETTLEMENT
2025-01-27,AED,0.27199319,MID
2025-01-27,AED,0.27104121,SETTLEMENT
2025-01-27,INR,0.01200696,MID
2025-01-27,INR,0.01196494,SETTLEMENT
2025-01-27,SGD,0.74249775,MID
2025-01-27,SGD,0.739899,SETTLEMENT
2025-01-27,USD,1.0,MID
2025-01-27,USD,1.0,SETTLEMENT
2025-01-28,AED,0.27257346,MID
2025-01-28,AED,0.27161945,SETTLEMENT
2025-01-28,INR,0.01200268,MID
2025-01-28,INR,0.01196067,SETTLEMENT
2025-01-28,SGD,0.74198882,MID
2025-01-28,SGD,0.73939186,SETTLEMENT
2025-01-28,USD,1.0,MID
2025-01-28,USD,1.0,SETTLEMENT
2025-01-29,AED,0.27250308,MID
2025-01-29,AED,0.27154932,SETTLEMENT
2025-01-29,INR,0.01200148,MID
2025-01-29,INR,0.01195947,SETTLEMENT
2025-01-29,SGD,0.74277817,MID
2025-01-29,SGD,0.74017844,SETTLEMENT
2025-01-29,USD,1.0,MID
2025-01-29,USD,1.0,SETTLEMENT
2025-01-30,AED,0.27243868,MID
2025-01-30,AED,0.27148515,SETTLEMENT
2025-01-30,INR,0.01199985,MID
2025-01-30,INR,0.01195785,SETTLEMENT
2025-01-30,SGD,0.74295403,MID
2025-01-30,SGD,0.74035369,SETTLEMENT
2025-01-30,USD,1.0,MID
2025-01-30,USD,1.0,SETTLEMENT
2025-01-31,AED,0.27270241,MID
2025-01-31,AED,0.27174795,SETTLEMENT
2025-01-31,INR,0.01202259,MID
2025-01-31,INR,0.01198051,SETTLEMENT
2025-01-31,SGD,0.74241167,MID
2025-01-31,SGD,0.73981323,SETTLEMENT
2025-01-31,USD,1.0,MID
2025-01-31,USD,1.0,SETTLEMENT
2025-02-01,AED,0.27250169,MID
2025-02-01,AED,0.27154793,SETTLEMENT
2025-02-01,INR,0.01198405,MID
2025-02-01,INR,0.0119421,SETTLEMENT
2025-02-01,SGD,0.74292539,MID
2025-02-01,SGD,0.74032515,SETTLEMENT
2025-02-01,USD,1.0,MID
2025-02-01,USD,1.0,SETTLEMENT
2025-02-02,AED,0.27253588,MID
2025-02-02,AED,0.271582,SETTLEMENT
2025-02-02,INR,0.01198064,MID
2025-02-02,INR,0.01193871,SETTLEMENT
2025-02-02,SGD,0.74241229,MID
2025-02-02,SGD,0.73981385,SETTLEMENT
2025-02-02,USD,1.0,MID
2025-02-02,USD,1.0,SETTLEMENT
2025-02-03,AED,0.27250219,MID
2025-02-03,AED,0.27154843,SETTLEMENT
2025-02-03,INR,0.01197443,MID
2025-02-03,INR,0.01193252,SETTLEMENT
2025-02-03,SGD,0.74264002,MID
2025-02-03,SGD,0.74004078,SETTLEMENT
2025-02-03,USD,1.0,MID
2025-02-03,USD,1.0,SETTLEMENT
2025-02-04,AED,0.27240543,MID
2025-02-04,AED,0.27145201,SETTLEMENT
2025-02-04,INR,0.01199311,MID
2025-02-04,INR,0.01195113,SETTLEMENT
2025-02-04,SGD,0.7415002,MID
2025-02-04,SGD,0.73890495,SETTLEMENT
2025-02-04,USD,1.0,MID
2025-02-04,USD,1.0,SETTLEMENT
2025-02-05,AED,0.27171128,MID
2025-02-05,AED,0.27076029,SETTLEMENT
2025-02-05,INR,0.0119986,MID
2025-02-05,INR,0.01195661,SETTLEMENT
2025-02-05,SGD,0.74192761,MID
2025-02-05,SGD,0.73933086,SETTLEMENT
2025-02-05,USD,1.0,MID
2025-02-05,USD,1.0,SETTLEMENT
2025-02-06,AED,0.2723214,MID
2025-02-06,AED,0.27136828,SETTLEMENT
2025-02-06,INR,0.01197885,MID
2025-02-06,INR,0.01193693,SETTLEMENT
2025-02-06,SGD,0.74222258,MID
2025-02-06,SGD,0.7396248,SETTLEMENT
2025-02-06,USD,1.0,MID
2025-02-06,USD,1.0,SETTLEMENT
2025-02-07,AED,0.27211234,MID
2025-02-07,AED,0.27115995,SETTLEMENT
2025-02-07,INR,0.01196653,MID
2025-02-07,INR,0.01192465,SETTLEMENT
2025-02-07,SGD,0.74273777,MID
2025-02-07,SGD,0.74013818,SETTLEMENT
2025-02-07,USD,1.0,MID
2025-02-07,USD,1.0,SETTLEMENT
2025-02-08,AED,0.27187589,MID
2025-02-08,AED,0.27092432,SETTLEMENT
2025-02-08,INR,0.01196488,MID
2025-02-08,INR,0.011923,SETTLEMENT
2025-02-08,SGD,0.74161639,MID
2025-02-08,SGD,0.73902074,SETTLEMENT
2025-02-08,USD,1.0,MID
2025-02-08,USD,1.0,SETTLEMENT
2025-02-09,AED,0.27284362,MID
2025-02-09,AED,0.27188866,SETTLEMENT
2025-02-09,INR,0.0119842,MID
2025-02-09,INR,0.01194225,SETTLEMENT
2025-02-09,SGD,0.74239077,MID
2025-02-09,SGD,0.7397924,SETTLEMENT
2025-02-09,USD,1.0,MID
2025-02-09,USD,1.0,SETTLEMENT
2025-02-10,AED,0.27285903,MID
2025-02-10,AED,0.27190403,SETTLEMENT
2025-02-10,INR,0.01198365,MID
2025-02-10,INR,0.0119417,SETTLEMENT
2025-02-10,SGD,0.74164991,MID
2025-02-10,SGD,0.73905413,SETTLEMENT
2025-02-10,USD,1.0,MID
2025-02-10,USD,1.0,SETTLEMENT
2025-02-11,AED,0.27273821,MID
2025-02-11,AED,0.27178362,SETTLEMENT
2025-02-11,INR,0.01197889,MID
2025-02-11,INR,0.01193696,SETTLEMENT
2025-02-11,SGD,0.74174174,MID
2025-02-11,SGD,0.73914564,SETTLEMENT
2025-02-11,USD,1.0,MID
2025-02-11,USD,1.0,SETTLEMENT
2025-02-12,AED,0.27237747,MID
2025-02-12,AED,0.27142415,SETTLEMENT
2025-02-12,INR,0.01195965,MID
2025-02-12,INR,0.01191779,SETTLEMENT
2025-02-12,SGD,0.74254459,MID
2025-02-12,SGD,0.73994568,SETTLEMENT
2025-02-12,USD,1.0,MID
2025-02-12,USD,1.0,SETTLEMENT
2025-02-13,AED,0.2727354,MID
2025-02-13,AED,0.27178082,SETTLEMENT
2025-02-13,INR,0.01197066,MID
2025-02-13,INR,0.01192876,SETTLEMENT
2025-02-13,SGD,0.73999192,MID
2025-02-13,SGD,0.73740195,SETTLEMENT
2025-02-13,USD,1.0,MID
2025-02-13,USD,1.0,SETTLEMENT
2025-02-14,AED,0.27229802,MID
2025-02-14,AED,0.27134497,SETTLEMENT
2025-02-14,INR,0.01196712,MID
2025-02-14,INR,0.01192523,SETTLEMENT
2025-02-14,SGD,0.74057183,MID
2025-02-14,SGD,0.73797983,SETTLEMENT
2025-02-14,USD,1.0,MID
2025-02-14,USD,1.0,SETTLEMENT
2025-02-15,AED,0.27236034,MID
2025-02-15,AED,0.27140708,SETTLEMENT
2025-02-15,INR,0.0119667,MID
2025-02-15,INR,0.01192482,SETTLEMENT
2025-02-15,SGD,0.74036641,MID
2025-02-15,SGD,0.73777513,SETTLEMENT
2025-02-15,USD,1.0,MID
2025-02-15,USD,1.0,SETTLEMENT
2025-02-16,AED,0.27193678,MID
2025-02-16,AED,0.270985,SETTLEMENT
2025-02-16,INR,0.01197419,MID
2025-02-16,INR,0.01193228,SETTLEMENT
2025-02-16,SGD,0.73956854,MID
2025-02-16,SGD,0.73698005,SETTLEMENT
2025-02-16,USD,1.0,MID
2025-02-16,USD,1.0,SETTLEMENT
2025-02-17,AED,0.2724238,MID
2025-02-17,AED,0.27147031,SETTLEMENT
2025-02-17,INR,0.01196301,MID
2025-02-17,INR,0.01192114,SETTLEMENT
2025-02-17,SGD,0.74100159,MID
2025-02-17,SGD,0.73840809,SETTLEMENT
2025-02-17,USD,1.0,MID
2025-02-17,USD,1.0,SETTLEMENT
2025-02-18,AED,0.27231381,MID
2025-02-18,AED,0.27136071,SETTLEMENT
2025-02-18,INR,0.01196766,MID
2025-02-18,INR,0.01192578,SETTLEMENT
2025-02-18,SGD,0.74223191,MID
2025-02-18,SGD,0.73963409,SETTLEMENT
2025-02-18,USD,1.0,MID
2025-02-18,USD,1.0,SETTLEMENT
2025-02-19,AED,0.27186843,MID
2025-02-19,AED,0.27091689,SETTLEMENT
2025-02-19,INR,0.01195701,MID
2025-02-19,INR,0.01191516,SETTLEMENT
2025-02-19,SGD,0.74127131,MID
2025-02-19,SGD,0.73867686,SETTLEMENT
2025-02-19,USD,1.0,MID
2025-02-19,USD,1.0,SETTLEMENT
2025-02-20,AED,0.27227735,MID
2025-02-20,AED,0.27132438,SETTLEMENT
2025-02-20,INR,0.01195831,MID
2025-02-20,INR,0.01191645,SETTLEMENT
2025-02-20,SGD,0.7416606,MID
2025-02-20,SGD,0.73906479,SETTLEMENT
2025-02-20,USD,1.0,MID
2025-02-20,USD,1.0,SETTLEMENT
2025-02-21,AED,0.27226803,MID
2025-02-21,AED,0.27131509,SETTLEMENT
2025-02-21,INR,0.01196133,MID
2025-02-21,INR,0.01191947,SETTLEMENT
2025-02-21,SGD,0.74241353,MID
2025-02-21,SGD,0.73981508,SETTLEMENT
2025-02-21,USD,1.0,MID
2025-02-21,USD,1.0,SETTLEMENT
2025-02-22,AED,0.27288144,MID
2025-02-22,AED,0.27192635,SETTLEMENT
2025-02-22,INR,0.0119295,MID
2025-02-22,INR,0.01188775,SETTLEMENT
2025-02-22,SGD,0.74258544,MID
2025-02-22,SGD,0.73998639,SETTLEMENT
2025-02-22,USD,1.0,MID
2025-02-22,USD,1.0,SETTLEMENT
2025-02-23,AED,0.27258626,MID
2025-02-23,AED,0.27163221,SETTLEMENT
2025-02-23,INR,0.01194393,MID
2025-02-23,INR,0.01190213,SETTLEMENT
2025-02-23,SGD,0.74130251,MID
2025-02-23,SGD,0.73870795,SETTLEMENT
2025-02-23,USD,1.0,MID
2025-02-23,USD,1.0,SETTLEMENT
2025-02-24,AED,0.27229782,MID
2025-02-24,AED,0.27134478,SETTLEMENT
2025-02-24,INR,0.01193989,MID
2025-02-24,INR,0.0118981,SETTLEMENT
2025-02-24,SGD,0.74252796,MID
2025-02-24,SGD,0.73992911,SETTLEMENT
2025-02-24,USD,1.0,MID
2025-02-24,USD,1.0,SETTLEMENT
2025-02-25,AED,0.27237537,MID
2025-02-25,AED,0.27142206,SETTLEMENT
2025-02-25,INR,0.0119356,MID
2025-02-25,INR,0.01189382,SETTLEMENT
2025-02-25,SGD,0.74136558,MID
2025-02-25,SGD,0.7387708,SETTLEMENT
2025-02-25,USD,1.0,MID
2025-02-25,USD,1.0,SETTLEMENT
2025-02-26,AED,0.27230852,MID
2025-02-26,AED,0.27135544,SETTLEMENT
2025-02-26,INR,0.01193893,MID
2025-02-26,INR,0.01189715,SETTLEMENT
2025-02-26,SGD,0.74049857,MID
2025-02-26,SGD,0.73790683,SETTLEMENT
2025-02-26,USD,1.0,MID
2025-02-26,USD,1.0,SETTLEMENT
2025-02-27,AED,0.27222777,MID
2025-02-27,AED,0.27127498,SETTLEMENT
2025-02-27,INR,0.01196242,MID
2025-02-27,INR,0.01192055,SETTLEMENT
2025-02-27,SGD,0.74067455,MID
2025-02-27,SGD,0.73808219,SETTLEMENT
2025-02-27,USD,1.0,MID
2025-02-27,USD,1.0,SETTLEMENT
2025-02-28,AED,0.27194039,MID
2025-02-28,AED,0.2709886,SETTLEMENT
2025-02-28,INR,0.01192671,MID
2025-02-28,INR,0.01188497,SETTLEMENT
2025-02-28,SGD,0.73984626,MID
2025-02-28,SGD,0.73725679,SETTLEMENT
2025-02-28,USD,1.0,MID
2025-02-28,USD,1.0,SETTLEMENT
2025-03-01,AED,0.27224472,MID
2025-03-01,AED,0.27129186,SETTLEMENT
2025-03-01,INR,0.0119511,MID
2025-03-01,INR,0.01190928,SETTLEMENT
2025-03-01,SGD,0.74033298,MID
2025-03-01,SGD,0.73774182,SETTLEMENT
2025-03-01,USD,1.0,MID
2025-03-01,USD,1.0,SETTLEMENT
2025-03-02,AED,0.27205029,MID
2025-03-02,AED,0.27109811,SETTLEMENT
2025-03-02,INR,0.01191125,MID
2025-03-02,INR,0.01186956,SETTLEMENT
2025-03-02,SGD,0.74076426,MID
2025-03-02,SGD,0.73817159,SETTLEMENT
2025-03-02,USD,1.0,MID
2025-03-02,USD,1.0,SETTLEMENT
2025-03-03,AED,0.27188553,MID
2025-03-03,AED,0.27093393,SETTLEMENT
2025-03-03,INR,0.01192868,MID
2025-03-03,INR,0.01188693,SETTLEMENT
2025-03-03,SGD,0.74175704,MID
2025-03-03,SGD,0.73916089,SETTLEMENT
2025-03-03,USD,1.0,MID
2025-03-03,USD,1.0,SETTLEMENT
2025-03-04,AED,0.27246112,MID
2025-03-04,AED,0.27150751,SETTLEMENT
2025-03-04,INR,0.01193392,MID
2025-03-04,INR,0.01189215,SETTLEMENT
