transaction_id,customer_id,merchant_id,amount,currency,channel,status,created_at,route_id
TXN00000016,CUS010684,MER00435,47205.85,INR,CARD,CAPTURED,2025-01-01 00:49:57.205190171,RT_IN_01
TXN00000017,CUS002660,MER00555,26264.36,INR,UPI,CAPTURED,2025-01-01 00:51:23.192466974,RT_IN_01
TXN00000018,CUS001536,MER00345,2933.48,INR,CARD,CAPTURED,2025-01-01 00:54:53.989639050,RT_IN_02
TXN00000019,CUS012694,MER00518,675.14,SGD,CARD,CAPTURED,2025-01-01 00:56:50.188526336,RT_SG_01
TXN00000020,CUS000806,MER00321,4230.51,INR,CARD,CAPTURED,2025-01-01 00:58:39.325127418,RT_IN_01
TXN00000021,CUS001147,MER00095,8996.97,INR,UPI,DECLINED,2025-01-01 01:00:25.629411484,RT_IN_01
TXN00000022,CUS005784,MER00288,5441.2,INR,WALLET,CAPTURED,2025-01-01 01:01:53.264176691,RT_IN_01
TXN00000023,CUS008530,MER00107,83063.13,INR,UPI,CAPTURED,2025-01-01 01:02:33.691714601,RT_IN_03
TXN00000024,CUS003642,MER00203,67509.41,INR,WALLET,CAPTURED,2025-01-01 01:14:08.139458795,RT_IN_01
TXN00000025,CUS013622,MER00067,16.04,SGD,CARD,CAPTURED,2025-01-01 01:18:41.944754257,RT_SG_03
TXN00000026,CUS012642,MER00067,6.77,SGD,BANK_TRANSFER,FAILED,2025-01-01 01:21:55.668239255,RT_SG_03
TXN00000027,CUS003611,MER00344,475.64,SGD,WALLET,CAPTURED,2025-01-01 01:25:04.722490327,RT_SG_01
TXN00000028,CUS003225,MER00531,2523.82,INR,CARD,CAPTURED,2025-01-01 01:27:49.650369086,RT_IN_02
TXN00000029,CUS004836,MER00434,3763.45,INR,UPI,DECLINED,2025-01-01 01:33:48.316006555,RT_IN_03
TXN00000030,CUS004126,MER00531,7025.52,INR,CARD,CAPTURED,2025-01-01 01:36:43.360005741,RT_IN_01
TXN00000031,CUS004335,MER00464,1777.16,SGD,CARD,CAPTURED,2025-01-01 01:39:36.822312414,RT_SG_03
TXN00000032,CUS013109,MER00081,38.61,SGD,CARD,CAPTURED,2025-01-01 01:41:21.732157123,RT_SG_01
TXN00000033,CUS010721,MER00185,794.43,AED,BANK_TRANSFER,CAPTURED,2025-01-01 01:42:00.067475674,RT_AE_01
TXN00000034,CUS012127,MER00335,15372.38,INR,UPI,CAPTURED,2025-01-01 01:43:52.943561732,RT_IN_01
TXN00000035,CUS004933,MER00323,4471.21,INR,UPI,CAPTURED,2025-01-01 01:48:13.036245936,RT_IN_01
TXN00000036,CUS000960,MER00357,431.25,AED,BANK_TRANSFER,CAPTURED,2025-01-01 01:53:54.247234378,RT_AE_01
TXN00000037,CUS010865,MER00554,13199.79,INR,WALLET,CAPTURED,2025-01-01 01:55:14.664798290,RT_IN_01
TXN00000038,CUS005947,MER00311,3145.78,INR,CARD,CAPTURED,2025-01-01 01:55:43.370780372,RT_IN_01
TXN00000039,CUS009994,MER00042,7609.21,INR,CARD,CAPTURED,2025-01-01 01:56:27.491807411,RT_IN_01
TXN00000040,CUS008633,MER00595,2074.42,INR,CARD,CAPTURED,2025-01-01 01:56:30.392145098,RT_IN_02
TXN00000041,CUS011837,MER00323,3347.64,INR,CARD,CAPTURED,2025-01-01 01:56:35.776585625,RT_IN_01
TXN00000042,CUS009273,MER00524,6482.45,INR,BANK_TRANSFER,CAPTURED,2025-01-01 02:00:21.280283885,RT_IN_01
TXN00000043,CUS008860,MER00556,9036.52,INR,WALLET,CAPTURED,2025-01-01 02:04:43.359501764,RT_IN_03
TXN00000044,CUS012101,MER00600,33100.16,INR,BANK_TRANSFER,CAPTURED,2025-01-01 02:05:00.420301049,RT_IN_03
TXN00000045,CUS004763,MER00518,510.63,SGD,CARD,CAPTURED,2025-01-01 02:10:39.955954588,RT_SG_01
TXN00000046,CUS004770,MER00323,4076.98,INR,CARD,CAPTURED,2025-01-01 02:16:06.089085579,RT_IN_02
TXN00000047,CUS009253,MER00485,3949.57,INR,UPI,CAPTURED,2025-01-01 02:20:24.716245478,RT_IN_01
TXN00000048,CUS013928,MER00568,8019.28,INR,BANK_TRANSFER,CAPTURED,2025-01-01 02:26:04.064043704,RT_IN_03
TXN00000049,CUS002333,MER00298,3370.25,SGD,BANK_TRANSFER,CAPTURED,2025-01-01 02:33:11.681528486,RT_SG_01
TXN00000050,CUS007431,MER00077,227.23,SGD,CARD,CAPTURED,2025-01-01 02:43:23.295004094,RT_SG_01
TXN00000051,CUS003375,MER00323,19023.85,INR,CARD,CAPTURED,2025-01-01 02:45:32.415471021,RT_IN_01
TXN00000052,CUS004620,MER00146,10720.53,INR,UPI,CAPTURED,2025-01-01 02:50:41.479773002,RT_IN_01
TXN00000053,CUS010351,MER00216,2250.94,AED,CARD,CAPTURED,2025-01-01 02:51:15.319208340,RT_AE_02
TXN00000054,CUS001589,MER00240,913.81,AED,BANK_TRANSFER,CAPTURED,2025-01-01 02:51:41.318032210,RT_AE_01
TXN00000055,CUS003930,,11116.17,INR,UPI,CAPTURED,2025-01-01 02:55:07.473989106,RT_IN_01
TXN00000056,CUS008118,MER00352,82.49,SGD,UPI,FAILED,2025-01-01 02:55:58.003432184,RT_SG_01
TXN00000057,CUS003469,MER00064,36195.15,INR,UPI,CAPTURED,2025-01-01 03:01:07.208137834,RT_IN_02
TXN00000058,CUS004302,MER00298,1933.6,SGD,CARD,DECLINED,2025-01-01 03:02:07.481916370,RT_SG_02
TXN00000059,CUS010858,MER00556,4429.32,INR,UPI,CAPTURED,2025-01-01 03:12:52.693268228,RT_IN_01
TXN00000060,CUS011624,MER00086,14058.61,INR,UPI,CAPTURED,2025-01-01 03:13:30.009558917,RT_IN_01
TXN00000061,CUS001263,MER00323,5942.4,INR,WALLET,CAPTURED,2025-01-01 03:14:23.735766623,RT_IN_01
TXN00000062,CUS003402,MER00273,6273.87,INR,WALLET,CAPTURED,2025-01-01 03:15:49.145908610,RT_IN_02
TXN00000063,CUS013907,MER00189,33700.73,INR,UPI,CAPTURED,2025-01-01 03:20:59.840081700,RT_IN_03
TXN00000064,CUS009466,,55244.81,INR,WALLET,CAPTURED,2025-01-01 03:21:17.396301893,RT_IN_01
TXN00000065,CUS000783,MER00283,1625.04,INR,UPI,CAPTURED,2025-01-01 03:29:04.135118897,RT_IN_01
TXN00000066,CUS008767,MER00140,482.26,AED,BANK_TRANSFER,CAPTURED,2025-01-01 03:31:37.881204941,RT_AE_01
TXN00000067,CUS006571,MER00162,30830.02,INR,UPI,CAPTURED,2025-01-01 03:32:54.912696367,RT_IN_01
TXN00000068,CUS000253,MER00094,1860.33,INR,UPI,CAPTURED,2025-01-01 03:34:00.045865463,RT_IN_02
TXN00000069,CUS013721,MER00323,2700.31,INR,WALLET,DECLINED,2025-01-01 03:35:10.042767594,RT_IN_01
TXN00000070,CUS010815,MER00509,11703.53,INR,UPI,CAPTURED,2025-01-01 03:38:12.773828293,RT_IN_02
TXN00000071,CUS006691,MER00323,15657.37,INR,CARD,CAPTURED,2025-01-01 03:41:04.778817606,RT_IN_01
TXN00000072,CUS013119,MER00330,210.47,AED,CARD,CAPTURED,2025-01-01 03:43:24.575865859,RT_AE_03
TXN00000073,CUS004912,MER00166,78.14,SGD,CARD,CAPTURED,2025-01-01 03:50:27.536121660,RT_SG_01
TXN00000074,CUS010441,MER00198,2553.32,INR,UPI,CAPTURED,2025-01-01 03:51:22.678266158,RT_IN_01
TXN00000075,CUS011812,MER00497,49.35,SGD,CARD,CAPTURED,2025-01-01 03:52:07.639661606,RT_SG_01
TXN00000076,CUS012889,MER00283,2154.41,INR,WALLET,DECLINED,2025-01-01 03:54:18.016890612,RT_IN_01
TXN00000077,CUS007684,MER00005,3375.43,INR,CARD,CAPTURED,2025-01-01 03:55:59.133273699,RT_IN_01
TXN00000078,CUS010792,MER00008,81222.3,INR,CARD,CAPTURED,2025-01-01 03:56:01.117414603,RT_IN_01
TXN00000079,CUS001994,MER00357,665.73,AED,CARD,CAPTURED,2025-01-01 03:58:09.016698298,RT_AE_01
TXN00000080,CUS007983,MER00067,14.63,SGD,CARD,CAPTURED,2025-01-01 03:58:20.868982236,RT_SG_03
TXN00000081,CUS003240,MER00597,1037.82,INR,CARD,CAPTURED,2025-01-01 04:05:34.020549886,RT_IN_02
TXN00000082,CUS004204,MER00091,69721.12,INR,UPI,CAPTURED,2025-01-01 04:12:56.063577853,RT_IN_01
TXN00000083,CUS009604,MER00470,900.48,INR,WALLET,CAPTURED,2025-01-01 04:14:30.867199715,RT_IN_01
TXN00000084,CUS007602,MER00008,75312.5,INR,UPI,CAPTURED,2025-01-01 04:15:11.782658357,RT_IN_01
TXN00000085,CUS008117,MER00314,485.62,AED,BANK_TRANSFER,CAPTURED,2025-01-01 04:15:59.015217491,RT_AE_02
TXN00000086,CUS011386,MER00185,465.71,AED,BANK_TRANSFER,CAPTURED,2025-01-01 04:16:04.801165888,RT_AE_01
TXN00000087,CUS000770,MER00273,3085.37,INR,UPI,CAPTURED,2025-01-01 04:22:39.069618672,RT_IN_02
TXN00000088,CUS005340,MER00226,2438.8,INR,WALLET,CAPTURED,2025-01-01 04:25:41.379272412,RT_IN_01
TXN00000089,CUS004652,MER00279,3501.44,AED,CARD,CAPTURED,2025-01-01 04:25:51.576186634,RT_AE_02
TXN00000090,CUS014976,MER00206,17488.88,INR,BANK_TRANSFER,CAPTURED,2025-01-01 04:28:21.235343283,RT_IN_02
TXN00000091,CUS008641,MER00429,2461.68,INR,UPI,CAPTURED,2025-01-01 04:29:58.286037578,RT_IN_02
TXN00000092,CUS011497,MER00333,35.39,AED,CARD,CAPTURED,2025-01-01 04:34:03.153887698,RT_AE_03
TXN00000093,CUS009705,MER00301,2241.57,INR,CARD,CAPTURED,2025-01-01 04:36:13.180683758,RT_IN_01
TXN00000094,CUS011119,MER00446,116.46,AED,BANK_TRANSFER,DECLINED,2025-01-01 04:38:06.325434836,RT_AE_01
TXN00000095,CUS002730,MER00465,141.59,SGD,CARD,CAPTURED,2025-01-01 04:39:41.586065823,RT_SG_02
TXN00000096,CUS011340,MER00162,57522.26,INR,UPI,CAPTURED,2025-01-01 04:40:35.814687878,RT_IN_03
TXN00000097,CUS008841,MER00185,88.58,AED,CARD,CAPTURED,2025-01-01 05:02:19.920916381,RT_AE_01
TXN00000098,CUS011768,MER00220,9252.97,INR,CARD,CAPTURED,2025-01-01 05:03:09.811807790,RT_IN_01
TXN00000099,CUS010028,MER00226,2473.54,INR,UPI,CAPTURED,2025-01-01 05:05:10.532917706,RT_IN_02
TXN00000100,CUS000694,MER00364,459.1,AED,BANK_TRANSFER,CAPTURED,2025-01-01 05:07:41.514644317,RT_AE_03
TXN00000101,CUS009026,MER00134,13427.82,INR,CARD,CAPTURED,2025-01-01 05:11:19.423950918,RT_IN_02
TXN00000102,CUS001037,MER00115,35455.74,INR,UPI,CAPTURED,2025-01-01 05:12:02.975751269,RT_IN_03
TXN00000103,CUS000224,MER00411,75.85,SGD,BANK_TRANSFER,CAPTURED,2025-01-01 05:14:53.191554302,RT_SG_02
TXN00000104,CUS000503,MER00240,234.08,AED,CARD,CAPTURED,2025-01-01 05:14:58.645181557,RT_AE_03
TXN00000105,CUS007518,MER00011,153.64,SGD,CARD,CAPTURED,2025-01-01 05:15:45.944998072,RT_SG_01
TXN00000106,CUS004963,MER00084,86447.36,INR,UPI,CAPTURED,2025-01-01 05:21:07.595957788,RT_IN_01
TXN00000107,CUS000806,MER00159,7970.46,INR,UPI,CAPTURED,2025-01-01 05:22:49.629883670,RT_IN_02
TXN00000108,CUS002855,MER00107,22548.71,INR,CARD,CAPTURED,2025-01-01 05:23:38.751750018,RT_IN_01
TXN00000109,CUS009487,MER00070,7679.84,INR,UPI,CAPTURED,2025-01-01 05:25:50.508697238,RT_IN_03
TXN00000110,CUS009060,MER00166,78.76,SGD,CARD,CAPTURED,2025-01-01 05:27:40.072521400,RT_SG_02
TXN00000111,CUS014979,MER00551,1542.11,INR,UPI,CAPTURED,2025-01-01 05:28:26.394563203,RT_IN_01
TXN00000112,CUS005779,MER00301,8502.07,INR,CARD,CAPTURED,2025-01-01 05:29:55.783976425,RT_IN_03
TXN00000113,CUS009504,MER00240,481.33,AED,CARD,CAPTURED,2025-01-01 05:30:18.783279367,RT_AE_01
TXN00000114,CUS012428,MER00323,9526.67,INR,UPI,CAPTURED,2025-01-01 05:36:47.140453291,RT_IN_02
TXN00000115,CUS010099,MER00242,30908.69,INR,UPI,CAPTURED,2025-01-01 05:36:51.366359004,RT_IN_01
TXN00000116,CUS002660,MER00159,10399.74,INR,UPI,CAPTURED,2025-01-01 05:37:22.250740132,RT_IN_01
TXN00000117,CUS013124,MER00426,326.44,SGD,CARD,CAPTURED,2025-01-01 05:40:05.671684249,RT_SG_01
TXN00000118,CUS008759,MER00566,4707.48,INR,BANK_TRANSFER,CAPTURED,2025-01-01 05:40:12.587752205,RT_IN_01
TXN00000119,CUS014628,MER00557,7525.55,INR,UPI,CAPTURED,2025-01-01 05:41:53.677610259,RT_IN_02
TXN00000120,CUS004740,MER00146,2702.57,INR,UPI,CAPTURED,2025-01-01 05:42:23.884954038,RT_IN_01
TXN00000121,CUS001277,MER00319,16148.56,INR,CARD,CAPTURED,2025-01-01 05:42:46.424838440,RT_IN_01
TXN00000122,CUS003432,MER00588,3847.05,INR,WALLET,CAPTURED,2025-01-01 05:47:14.707234943,RT_IN_01
TXN00000123,CUS000506,MER00323,12888.97,INR,CARD,FAILED,2025-01-01 05:49:15.937130635,RT_IN_01
TXN00000124,CUS014960,MER00429,1067.35,INR,CARD,CAPTURED,2025-01-01 05:52:39.304235993,RT_IN_01
TXN00000125,CUS004723,MER00178,1262.9,INR,CARD,CAPTURED,2025-01-01 05:54:50.892429712,RT_IN_02
TXN00000126,CUS006923,MER00544,13384.69,INR,CARD,CAPTURED,2025-01-01 05:57:18.714236004,RT_IN_02
TXN00000127,CUS010197,MER00323,4216.0,INR,UPI,CAPTURED,2025-01-01 06:04:21.681366245,RT_IN_01
TXN00000128,CUS010690,MER00323,10426.84,INR,UPI,CAPTURED,2025-01-01 06:09:44.258408183,RT_IN_03
TXN00000129,CUS000762,MER00159,11295.57,INR,CARD,CAPTURED,2025-01-01 06:10:03.360884666,RT_IN_02
TXN00000130,CUS002904,MER00301,5549.91,INR,UPI,CAPTURED,2025-01-01 06:21:27.087091258,RT_IN_03
TXN00000131,CUS010111,MER00146,6309.14,INR,WALLET,CAPTURED,2025-01-01 06:28:35.882707261,RT_IN_01
TXN00000132,CUS007281,MER00146,19961.56,INR,WALLET,CAPTURED,2025-01-01 06:30:27.080256533,RT_IN_01
TXN00000133,CUS013009,MER00383,3969.38,INR,UPI,CAPTURED,2025-01-01 06:34:53.407688119,RT_IN_03
TXN00000134,CUS005419,MER00525,2016.28,AED,CARD,CAPTURED,2025-01-01 06:37:26.158396045,RT_AE_01
TXN00000135,CUS014106,MER00036,440.85,AED,CARD,CAPTURED,2025-01-01 06:37:48.812206338,RT_AE_02
TXN00000136,CUS006217,MER00185,539.36,AED,BANK_TRANSFER,CAPTURED,2025-01-01 06:39:36.123136767,RT_AE_03
TXN00000137,CUS007972,MER00241,1409.0,AED,CARD,DECLINED,2025-01-01 06:40:48.498622987,RT_AE_01
TXN00000138,CUS005654,MER00323,20885.47,INR,UPI,CAPTURED,2025-01-01 06:41:17.414166170,RT_IN_02
TXN00000139,CUS005732,MER00242,5706.28,INR,WALLET,CAPTURED,2025-01-01 06:47:16.349423751,RT_IN_01
TXN00000140,CUS007617,MER00323,6910.4,INR,WALLET,CAPTURED,2025-01-01 06:48:05.986033896,RT_IN_02
TXN00000141,CUS013818,MER00206,8740.63,INR,CARD,CAPTURED,2025-01-01 06:48:31.633914119,RT_IN_01
TXN00000142,CUS014360,MER00264,241.91,SGD,CARD,CAPTURED,2025-01-01 06:48:35.262291949,RT_SG_01
TXN00000143,CUS002171,MER00084,46602.49,INR,UPI,CAPTURED,2025-01-01 06:57:51.140972669,RT_IN_01
TXN00000144,CUS010921,MER00429,4939.52,INR,UPI,FAILED,2025-01-01 06:58:06.031029287,RT_IN_02
TXN00000145,CUS012192,MER00469,64.2,AED,BANK_TRANSFER,CAPTURED,2025-01-01 06:58:29.000561654,RT_AE_01
TXN00000146,CUS014976,MER00377,58927.2,INR,WALLET,CAPTURED,2025-01-01 07:00:34.369830147,RT_IN_01
TXN00000147,CUS014516,MER00159,5023.61,INR,UPI,CAPTURED,2025-01-01 07:00:40.666782191,RT_IN_01
TXN00000148,CUS009104,MER00117,140.36,SGD,CARD,CAPTURED,2025-01-01 07:00:49.543319011,RT_SG_01
TXN00000149,CUS014701,MER00040,36309.61,INR,CARD,DECLINED,2025-01-01 07:02:18.670207634,RT_IN_01
TXN00000150,CUS007075,MER00283,1263.78,INR,UPI,CAPTURED,2025-01-01 07:12:59.280664291,RT_IN_02
TXN00000151,CUS009467,MER00593,1843.25,INR,WALLET,CAPTURED,2025-01-01 07:18:36.314452975,RT_IN_03
TXN00000152,CUS012263,MER00197,349.28,AED,WALLET,CAPTURED,2025-01-01 07:18:40.674442974,RT_AE_03
TXN00000153,CUS013782,MER00500,6658.77,INR,CARD,CAPTURED,2025-01-01 07:19:03.284857683,RT_IN_02
TXN00000154,CUS010752,MER00507,90.26,AED,WALLET,CAPTURED,2025-01-01 07:27:00.454973028,RT_AE_01
TXN00000155,CUS006833,MER00323,2427.6,INR,UPI,CAPTURED,2025-01-01 07:27:15.373972683,RT_IN_01
TXN00000156,CUS009031,MER00568,5237.64,INR,WALLET,CAPTURED,2025-01-01 07:27:56.996708307,RT_IN_02
TXN00000157,CUS007812,MER00301,1128.65,INR,UPI,CAPTURED,2025-01-01 07:37:47.029464364,RT_IN_01
TXN00000158,CUS005203,MER00203,11314.22,INR,CARD,CAPTURED,2025-01-01 07:37:52.506876791,RT_IN_02
TXN00000159,CUS009769,MER00323,41868.15,INR,UPI,CAPTURED,2025-01-01 07:39:45.863995457,RT_IN_01
TXN00000160,CUS004014,MER00076,15178.54,INR,CARD,CAPTURED,2025-01-01 07:44:19.078888344,RT_IN_01
TXN00000161,CUS006627,MER00323,36313.84,INR,BANK_TRANSFER,CAPTURED,2025-01-01 07:51:07.939686320,RT_IN_01
TXN00000162,CUS005868,MER00185,487.63,AED,WALLET,FAILED,2025-01-01 07:55:54.973203070,RT_AE_01
TXN00000163,CUS000263,MER00132,236.03,SGD,BANK_TRANSFER,CAPTURED,2025-01-01 07:58:19.609215566,RT_SG_02
TXN00000164,CUS013746,MER00107,91585.82,INR,WALLET,CAPTURED,2025-01-01 07:59:40.191468148,RT_IN_01
TXN00000165,CUS004422,MER00323,19390.81,INR,CARD,CAPTURED,2025-01-01 08:01:06.827867293,RT_IN_01
TXN00000166,CUS013147,MER00542,20050.93,INR,UPI,CAPTURED,2025-01-01 08:02:08.917774749,RT_IN_02
TXN00000167,CUS003682,MER00233,42.46,AED,CARD,CAPTURED,2025-01-01 08:02:58.255000381,RT_AE_01
TXN00000168,CUS012295,MER00301,13187.55,INR,BANK_TRANSFER,FAILED,2025-01-01 08:04:50.453764337,RT_IN_01
TXN00000169,CUS011237,MER00067,14.23,SGD,CARD,CAPTURED,2025-01-01 08:07:13.280528656,RT_SG_03
TXN00000170,CUS009963,MER00429,3423.38,INR,UPI,FAILED,2025-01-01 08:13:20.363400508,RT_IN_01
TXN00000171,CUS005701,MER00429,1904.69,INR,CARD,CAPTURED,2025-01-01 08:20:58.198589660,RT_IN_02
TXN00000172,CUS002597,MER00323,9358.46,INR,UPI,CAPTURED,2025-01-01 08:22:19.598569810,RT_IN_03
TXN00000173,CUS004307,MER00237,59.04,AED,WALLET,CAPTURED,2025-01-01 08:28:19.579597123,RT_AE_03
TXN00000174,CUS006438,MER00323,5475.83,INR,UPI,CAPTURED,2025-01-01 08:34:26.378257918,RT_IN_01
TXN00000175,CUS009573,MER00301,5639.27,INR,UPI,CAPTURED,2025-01-01 08:38:20.355711161,RT_IN_01
TXN00000176,CUS005080,MER00304,9436.86,INR,UPI,CAPTURED,2025-01-01 08:38:20.936319624,RT_IN_03
TXN00000177,CUS009039,MER00323,4607.14,INR,BANK_TRANSFER,CAPTURED,2025-01-01 08:38:58.243706071,RT_IN_03
TXN00000178,CUS002806,MER00187,5212.69,INR,UPI,DECLINED,2025-01-01 08:39:50.804551569,RT_IN_01
TXN00000179,CUS001625,MER00477,142.4,AED,BANK_TRANSFER,DECLINED,2025-01-01 08:43:18.121248008,RT_AE_01
TXN00000180,CUS011235,MER00169,291.76,AED,CARD,CAPTURED,2025-01-01 08:46:46.080723033,RT_AE_01
TXN00000181,CUS013033,MER00253,11692.9,INR,UPI,FAILED,2025-01-01 08:48:50.459261210,RT_IN_01
TXN00000182,CUS006560,MER00036,1296.69,AED,CARD,CAPTURED,2025-01-01 08:49:14.558535777,RT_AE_01
TXN00000183,CUS011977,MER00198,3995.62,INR,CARD,CAPTURED,2025-01-01 08:51:17.364616135,RT_IN_01
TXN00000184,CUS003580,MER00429,446.95,INR,BANK_TRANSFER,CAPTURED,2025-01-01 08:53:32.191225404,RT_IN_01
TXN00000185,CUS009629,MER00349,9891.8,INR,UPI,CAPTURED,2025-01-01 08:56:12.776074290,RT_IN_01
TXN00000186,CUS006424,MER00092,12437.82,INR,CARD,CAPTURED,2025-01-01 09:09:48.395369674,RT_IN_01
TXN00000187,CUS014741,MER00470,4578.58,INR,UPI,CAPTURED,2025-01-01 09:15:09.700411857,RT_IN_01
TXN00000188,CUS014482,MER00171,4469.45,INR,WALLET,CAPTURED,2025-01-01 09:21:26.434552912,RT_IN_01
TXN00000189,CUS004968,MER00557,2042.15,INR,CARD,CAPTURED,2025-01-01 09:25:10.845003228,RT_IN_02
TXN00000190,CUS005446,MER00055,83459.03,INR,UPI,CAPTURED,2025-01-01 09:25:40.097632361,RT_IN_01
TXN00000191,CUS003042,MER00588,16738.6,INR,CARD,CAPTURED,2025-01-01 09:26:04.451985034,RT_IN_02
TXN00000192,CUS008022,MER00246,194.78,SGD,CARD,CAPTURED,2025-01-01 09:27:53.700772030,RT_SG_01
TXN00000193,CUS011758,MER00185,364.77,AED,CARD,CAPTURED,2025-01-01 09:30:29.373539422,RT_AE_02
TXN00000194,CUS013605,MER00323,15246.23,INR,UPI,CAPTURED,2025-01-01 09:32:23.165590565,RT_IN_01
TXN00000195,CUS006723,MER00312,71.33,AED,BANK_TRANSFER,CAPTURED,2025-01-01 09:35:38.613966337,RT_AE_03
TXN00000196,CUS012730,MER00344,1665.35,SGD,WALLET,DECLINED,2025-01-01 09:36:14.346784667,RT_SG_01
TXN00000197,CUS008838,MER00357,737.17,AED,CARD,CAPTURED,2025-01-01 09:36:53.112386672,RT_AE_01
TXN00000198,CUS007369,MER00076,5917.77,INR,UPI,CAPTURED,2025-01-01 09:38:06.751127574,RT_IN_01
TXN00000199,CUS010380,MER00257,578.94,AED,CARD,CAPTURED,2025-01-01 09:39:48.893211876,RT_AE_02
TXN00000200,CUS002810,MER00007,16.59,SGD,WALLET,CAPTURED,2025-01-01 09:52:44.958173292,RT_SG_03
TXN00000201,CUS006515,MER00556,4072.42,INR,CARD,CAPTURED,2025-01-01 09:54:21.254346103,RT_IN_01
TXN00000202,CUS013385,MER00370,3582.16,INR,WALLET,CAPTURED,2025-01-01 09:57:58.397347687,RT_IN_01
TXN00000203,CUS002393,MER00017,71113.27,INR,UPI,CAPTURED,2025-01-01 10:00:13.826726162,RT_IN_01
TXN00000204,CUS006714,,50.16,SGD,CARD,CAPTURED,2025-01-01 10:03:41.707391938,RT_SG_02
TXN00000205,CUS005239,MER00081,88.06,SGD,CARD,CAPTURED,2025-01-01 10:04:49.571274743,RT_SG_01
TXN00000206,CUS002549,MER00301,8621.69,INR,UPI,CAPTURED,2025-01-01 10:11:26.028306858,RT_IN_01
TXN00000207,CUS007820,MER00128,58.47,SGD,CARD,CAPTURED,2025-01-01 10:15:47.182319805,RT_SG_01
TXN00000208,CUS006629,MER00323,22201.45,INR,BANK_TRANSFER,CAPTURED,2025-01-01 10:16:54.447340597,RT_IN_01
TXN00000209,CUS013148,MER00313,416.63,AED,CARD,CAPTURED,2025-01-01 10:22:50.066345551,RT_AE_02
TXN00000210,CUS006701,MER00128,59.23,SGD,CARD,CAPTURED,2025-01-01 10:24:10.187880109,RT_SG_01
TXN00000211,CUS011595,MER00429,4846.0,INR,WALLET,DECLINED,2025-01-01 10:28:16.048829328,RT_IN_01
TXN00000212,CUS011451,MER00237,24.74,AED,CARD,CAPTURED,2025-01-01 10:28:31.518481239,RT_AE_01
TXN00000213,CUS007953,MER00092,8492.06,INR,CARD,CAPTURED,2025-01-01 10:28:42.792365214,RT_IN_01
TXN00000214,CUS009554,MER00399,35.5,SGD,CARD,CAPTURED,2025-01-01 10:32:20.459252866,RT_SG_01
TXN00000215,CUS013812,MER00028,360.83,SGD,CARD,CAPTURED,2025-01-01 10:32:35.166201916,RT_SG_01
TXN00000216,CUS011294,MER00059,231.29,SGD,CARD,CAPTURED,2025-01-01 10:36:22.142990559,RT_SG_01
TXN00000217,CUS014954,MER00075,283.52,AED,BANK_TRANSFER,CAPTURED,2025-01-01 10:36:23.291297522,RT_AE_01
TXN00000218,CUS012743,MER00103,645.25,INR,CARD,CAPTURED,2025-01-01 10:39:16.040500880,RT_IN_01
TXN00000219,CUS004698,MER00237,247.4,AED,BANK_TRANSFER,CAPTURED,2025-01-01 10:42:19.866229208,RT_AE_01
TXN00000220,CUS012116,MER00323,16944.63,INR,UPI,CAPTURED,2025-01-01 10:47:17.697891814,RT_IN_03
TXN00000221,CUS009740,MER00185,134.77,AED,CARD,CAPTURED,2025-01-01 10:48:34.415068278,RT_AE_03
TXN00000222,CUS011694,MER00307,172.51,AED,BANK_TRANSFER,CAPTURED,2025-01-01 10:51:13.414501321,RT_AE_01
