merchant_id,snapshot_month,risk_score,risk_band
MER00440,2025-01,0.7063,HIGH
MER00441,2025-01,0.4436,MEDIUM
MER00442,2025-01,0.3406,MEDIUM
MER00443,2025-01,0.2199,LOW
MER00444,2025-01,0.1668,LOW
MER00445,2025-01,0.1462,LOW
MER00446,2025-01,0.3806,MEDIUM
MER00447,2025-01,0.1055,LOW
MER00448,2025-01,0.1806,LOW
MER00449,2025-01,0.67,HIGH
MER00450,2025-01,0.6012,HIGH
MER00451,2025-01,0.2109,LOW
MER00452,2025-01,0.5477,MEDIUM
MER00453,2025-01,0.3346,MEDIUM
MER00454,2025-01,0.1732,LOW
MER00455,2025-01,0.2795,LOW
MER00456,2025-01,0.6334,HIGH
MER00457,2025-01,0.7064,HIGH
MER00458,2025-01,0.4436,MEDIUM
MER00459,2025-01,0.2195,LOW
MER00460,2025-01,0.29,LOW
MER00461,2025-01,0.0726,LOW
MER00462,2025-01,0.1915,LOW
MER00463,2025-01,0.1499,LOW
MER00464,2025-01,0.1776,LOW
MER00465,2025-01,0.4227,MEDIUM
MER00466,2025-01,0.4024,MEDIUM
MER00467,2025-01,0.3548,MEDIUM
MER00468,2025-01,0.1188,LOW
MER00469,2025-01,0.8075,HIGH
MER00470,2025-01,0.0971,LOW
MER00471,2025-01,0.2536,LOW
MER00472,2025-01,0.1179,LOW
MER00473,2025-01,0.6857,HIGH
MER00474,2025-01,0.2981,LOW
MER00475,2025-01,0.4677,MEDIUM
MER00476,2025-01,0.5937,HIGH
MER00477,2025-01,0.6598,HIGH
MER00478,2025-01,0.4184,MEDIUM
MER00479,2025-01,0.7418,HIGH
MER00480,2025-01,0.1828,LOW
MER00481,2025-01,0.1705,LOW
MER00482,2025-01,0.5232,MEDIUM
MER00483,2025-01,0.5148,MEDIUM
MER00484,2025-01,0.4619,MEDIUM
MER00485,2025-01,0.6424,HIGH
MER00486,2025-01,0.0209,LOW
MER00487,2025-01,0.3433,MEDIUM
MER00488,2025-01,0.0874,LOW
MER00489,2025-01,0.6763,HIGH
MER00490,2025-01,0.7363,HIGH
MER00491,2025-01,0.5385,MEDIUM
MER00492,2025-01,0.2564,LOW
MER00493,2025-01,0.1374,LOW
MER00494,2025-01,0.1952,LOW
MER00495,2025-01,0.4441,MEDIUM
MER00496,2025-01,0.5864,HIGH
MER00497,2025-01,0.3676,MEDIUM
MER00498,2025-01,0.3942,MEDIUM
MER00499,2025-01,0.5478,MEDIUM
MER00500,2025-01,0.2032,LOW
