transaction_id,settlement_amount,settlement_currency,fee_amount,settlement_status,settlement_date
TXN00157837,72.28,USD,0.4915,SETTLED,2025-09-03
TXN00129750,82.7,USD,0.529,SETTLED,2025-07-29
TXN00089232,55.32,USD,0.3866,SETTLED,2025-05-31
TXN00200498,8.42,USD,0.5518,SETTLED,2025-10-28
TXN00255528,30.71,USD,0.6167,SETTLED,2025-12-29
TXN00038573,114.13,USD,0.7413,SETTLED,2025-03-10
TXN00093332,23.23,USD,0.4188,SETTLED,2025-06-06
TXN00206658,87.63,USD,0.5536,SETTLED,2025-11-03
TXN00041345,17.96,USD,0.2325,SETTLED,2025-03-17
TXN00027933,10.43,USD,0.1135,SETTLED,2025-02-21
TXN00013108,101.32,USD,0.6361,SETTLED,2025-01-26
TXN00238842,110.7,USD,0.7286,SETTLED,2025-12-10
TXN00058821,13.86,USD,0.1345,SETTLED,2025-04-14
TXN00027972,273.58,USD,1.3901,SETTLED,2025-02-21
TXN00221945,19.65,USD,0.5843,SETTLED,2025-11-20
TXN00199515,2.67,USD,0.0672,SETTLED,2025-10-26
TXN00055758,26.88,USD,0.4281,SETTLED,2025-04-10
TXN00087629,38.76,USD,0.4626,SETTLED,2025-05-29
TXN00106523,58.25,USD,0.417,SETTLED,2025-06-25
TXN00125076,595.93,USD,3.6774,SETTLED,2025-07-23
TXN00208550,156.05,USD,0.867,SETTLED,2025-11-05
TXN00099291,138.66,USD,0.7827,SETTLED,2025-06-16
TXN00066940,7.7,USD,0.3743,SETTLED,2025-04-26
TXN00258563,412.76,USD,1.7057,SETTLED,2026-01-02
TXN00116179,64.01,USD,0.4435,SETTLED,2025-07-10
TXN00081126,36.77,USD,0.2515,CORRECTION,2025-05-19
TXN00164932,644.84,USD,3.025,CORRECTION,2025-09-13
TXN00207422,166.01,USD,1.0656,SETTLED,2025-11-03
TXN00114143,205.51,USD,1.0878,SETTLED,2025-07-06
TXN00087526,100.6,USD,0.6373,SETTLED,2025-05-28
TXN00249792,28.87,USD,0.2278,SETTLED,2025-12-21
TXN00144296,232.95,USD,1.215,SETTLED,2025-08-18
TXN00114188,19.65,USD,0.5811,SETTLED,2025-07-07
TXN00075016,46.74,USD,0.4847,SETTLED,2025-05-08
TXN00190356,4.84,USD,0.5413,SETTLED,2025-10-15
TXN00156887,114.2,USD,0.7471,SETTLED,2025-09-03
TXN00254718,152.03,USD,0.9623,SETTLED,2025-12-26
TXN00206784,63.7,USD,0.4403,SETTLED,2025-11-03
TXN00194030,69.26,USD,0.474,SETTLED,2025-10-18
TXN00253594,57.73,USD,0.4046,SETTLED,2025-12-25
TXN00180856,3.49,USD,0.5372,SETTLED,2025-10-02
TXN00184100,35.54,USD,0.3149,SETTLED,2025-10-08
TXN00198099,294.67,USD,1.3653,SETTLED,2025-10-24
TXN00049966,41.03,USD,0.2991,SETTLED,2025-04-01
TXN00211309,92.26,USD,0.5749,SETTLED,2025-11-10
TXN00169174,138.97,USD,0.8987,SETTLED,2025-09-20
TXN00223034,266.83,USD,1.6833,SETTLED,2025-11-22
TXN00023028,191.5,USD,1.0182,SETTLED,2025-02-13
TXN00013601,333.44,USD,2.0652,SETTLED,2025-01-29
TXN00168577,308.59,USD,1.4028,SETTLED,2025-09-17
TXN00173115,997.24,USD,6.1359,SETTLED,2025-09-22
TXN00121245,336.28,USD,1.4777,SETTLED,2025-07-17
TXN00226392,39.31,USD,0.2915,SETTLED,2025-11-27
TXN00078707,91.82,USD,0.5688,SETTLED,2025-05-15
TXN00203864,222.44,USD,1.1603,SETTLED,2025-10-31
TXN00023466,128.97,USD,0.5866,SETTLED,2025-02-15
TXN00140033,124.16,USD,0.8072,SETTLED,2025-08-13
TXN00177258,62.25,USD,0.4309,SETTLED,2025-09-28
TXN00246364,6.1,USD,0.0883,SETTLED,2025-12-18
TXN00183856,23.73,USD,0.5948,SETTLED,2025-10-08
TXN00192717,7.01,USD,0.5476,SETTLED,2025-10-18
TXN00036318,534.1,USD,2.5719,SETTLED,2025-03-06
TXN00069912,643.71,USD,2.1692,SETTLED,2025-04-30
TXN00027726,112.32,USD,0.6677,SETTLED,2025-02-20
TXN00243010,9.59,USD,0.5562,SETTLED,2025-12-15
TXN00039262,52.22,USD,0.3665,SETTLED,2025-03-12
TXN00077945,553.27,USD,3.4082,SETTLED,2025-05-14
TXN00040319,92.04,USD,0.5683,SETTLED,2025-03-14
TXN00049868,623.76,USD,3.8289,SETTLED,2025-03-30
TXN00136199,21.07,USD,0.5858,SETTLED,2025-08-07
TXN00210353,46.61,USD,0.3358,SETTLED,2025-11-07
TXN00069669,123.02,USD,0.7967,SETTLED,2025-05-01
TXN00233291,85.77,USD,0.5759,SETTLED,2025-12-05
TXN00248771,49.14,USD,0.3783,SETTLED,2025-12-21
TXN00247773,345.79,USD,2.1687,SETTLED,2025-12-19
TXN00105505,24.67,USD,0.4233,SETTLED,2025-06-23
TXN00218877,3.99,USD,0.5397,SETTLED,2025-11-17
TXN00182026,22.6,USD,0.5916,SETTLED,2025-10-03
TXN00021333,13.32,USD,0.1309,SETTLED,2025-02-09
TXN00003651,28.96,USD,0.2816,SETTLED,2025-01-10
TXN00096234,19.73,USD,0.409,SETTLED,2025-06-12
TXN00024125,1939.13,USD,5.8061,SETTLED,2025-02-14
TXN00223533,58.51,USD,0.4089,SETTLED,2025-11-23
TXN00178361,152.61,USD,0.85,SETTLED,2025-09-29
TXN00110035,95.06,USD,0.6287,SETTLED,2025-06-30
TXN00169343,68.78,USD,0.4704,SETTLED,2025-09-20
TXN00207186,209.53,USD,1.3316,SETTLED,2025-11-04
TXN00118935,42.67,USD,0.3103,SETTLED,2025-07-13
TXN00094131,1444.25,USD,8.8254,SETTLED,2025-06-07
TXN00131668,15.88,USD,0.1474,SETTLED,2025-07-31
TXN00043683,153.66,USD,0.981,SETTLED,2025-03-19
TXN00150303,80.12,USD,0.7536,SETTLED,2025-08-24
TXN00074830,54.84,USD,0.3834,SETTLED,2025-05-08
TXN00160695,20.42,USD,0.5847,SETTLED,2025-09-07
TXN00240548,99.43,USD,0.6597,SETTLED,2025-12-11
TXN00174300,36.46,USD,0.2733,SETTLED,2025-09-26
TXN00233272,72.28,USD,0.7345,SETTLED,2025-12-05
TXN00160511,816.04,USD,5.027,SETTLED,2025-09-08
TXN00159273,6.17,USD,0.0884,SETTLED,2025-09-05
TXN00221196,5.16,USD,0.5431,SETTLED,2025-11-21
TXN00118720,37.22,USD,0.2772,SETTLED,2025-07-12
TXN00036922,63.28,USD,0.4334,SETTLED,2025-03-07
TXN00082016,47.52,USD,0.3391,SETTLED,2025-05-21
TXN00197795,13.72,USD,0.5668,SETTLED,2025-10-25
TXN00034441,55.62,USD,0.387,IN_TRANSIT,2025-03-05
TXN00143816,489.86,USD,3.0355,SETTLED,2025-08-17
TXN00017560,669.29,USD,4.0958,SETTLED,2025-02-05
TXN00228814,25.93,USD,0.6024,SETTLED,2025-11-30
TXN00241003,25.03,USD,0.6002,SETTLED,2025-12-13
TXN00006231,619.1,USD,3.7892,SETTLED,2025-01-14
TXN00085333,124.95,USD,0.7198,SETTLED,2025-05-27
TXN00161100,31.83,USD,0.2976,SETTLED,2025-09-07
TXN00177421,9.94,USD,0.1978,SETTLED,2025-09-30
TXN00186111,36.92,USD,0.6323,SETTLED,2025-10-09
TXN00253556,21.27,USD,0.5897,SETTLED,2025-12-27
TXN00105648,57.8,USD,0.517,SETTLED,2025-06-23
TXN00140984,96.08,USD,0.7986,SETTLED,2025-08-13
TXN00186394,29.96,USD,0.2339,SETTLED,2025-10-10
TXN00200070,12.07,USD,0.1246,SETTLED,2025-10-25
TXN00002214,47.33,USD,0.3361,SETTLED,2025-01-07
TXN00083883,65.96,USD,0.4511,SETTLED,2025-05-24
TXN00102936,10.76,USD,0.2007,SETTLED,2025-06-20
TXN00223924,142.71,USD,0.924,SETTLED,2025-11-24
TXN00077433,353.34,USD,2.1949,SETTLED,2025-05-13
TXN00079816,33.14,USD,0.3021,SETTLED,2025-05-18
TXN00000227,51.02,USD,0.4942,SETTLED,2025-01-03
TXN00258272,99.35,USD,0.6087,SETTLED,2026-01-01
TXN00031380,150.65,USD,0.8335,SETTLED,2025-02-26
TXN00173694,14.69,USD,0.2194,SETTLED,2025-09-23
TXN00150755,32.65,USD,0.3012,SETTLED,2025-08-25
TXN00021533,906.55,USD,5.5317,SETTLED,2025-02-11
TXN00101180,319.12,USD,1.9901,SETTLED,2025-06-19
TXN00221237,9.6,USD,0.5557,SETTLED,2025-11-19
TXN00054692,905.37,USD,2.9046,SETTLED,2025-04-07
TXN00233839,25.11,USD,0.2047,SETTLED,2025-12-03
TXN00208840,7.87,USD,0.5505,SETTLED,2025-11-07
TXN00122671,89.56,USD,0.5958,SETTLED,2025-07-18
TXN00191856,17.57,USD,0.5775,SETTLED,2025-10-15
TXN00209558,21.53,USD,0.1825,SETTLED,2025-11-07
TXN00243718,15.11,USD,0.5719,SETTLED,2025-12-16
TXN00034695,785.35,USD,2.5626,SETTLED,2025-03-03
TXN00158523,43.01,USD,0.6488,SETTLED,2025-09-04
TXN00221185,21.97,USD,0.5909,SETTLED,2025-11-19
TXN00054824,22.69,USD,0.188,SETTLED,2025-04-07
TXN00041898,25.92,USD,0.2075,SETTLED,2025-03-18
TXN00178078,34.52,USD,0.2616,SETTLED,2025-10-01
TXN00147281,17.62,USD,0.1582,SETTLED,2025-08-21
TXN00194032,135.39,USD,0.8779,SETTLED,2025-10-19
TXN00000861,1140.91,USD,5.308,SETTLED,2025-01-03
TXN00056283,3.1,USD,0.1562,CORRECTION,2025-04-10
TXN00144484,103.6,USD,0.6248,SETTLED,2025-08-18
TXN00037400,123.32,USD,0.7968,SETTLED,2025-03-10
TXN00132382,384.03,USD,1.6136,SETTLED,2025-07-31
TXN00211573,22.0,USD,0.5907,SETTLED,2025-11-09
TXN00008563,43.25,USD,0.3464,SETTLED,2025-01-20
TXN00207157,2.03,USD,0.2718,SETTLED,2025-11-04
TXN00191832,70.79,USD,0.4833,SETTLED,2025-10-17
TXN00083052,77.74,USD,0.5725,SETTLED,2025-05-22
TXN00048622,89.26,USD,0.6037,SETTLED,2025-03-27
TXN00051498,31.03,USD,0.2385,SETTLED,2025-04-01
TXN00025527,13.09,USD,0.1295,SETTLED,2025-02-18
TXN00129963,33.15,USD,0.2525,SETTLED,2025-07-29
TXN00094466,41.27,USD,0.3395,SETTLED,2025-06-09
TXN00155269,204.1,USD,1.1055,SETTLED,2025-08-31
TXN00163133,97.12,USD,0.5959,SETTLED,2025-09-11
TXN00014346,63.88,USD,0.531,SETTLED,2025-01-30
TXN00165570,8.25,USD,0.1011,SETTLED,2025-09-15
TXN00034833,338.73,USD,1.3054,SETTLED,2025-03-05
TXN00042337,24.7,USD,0.2001,SETTLED,2025-03-19
TXN00104228,28.51,USD,0.224,SETTLED,2025-06-23
TXN00015231,22.85,USD,0.1885,SETTLED,2025-02-01
TXN00022290,77.49,USD,0.5189,SETTLED,2025-02-13
TXN00173149,45.73,USD,0.3298,SETTLED,2025-09-22
TXN00116146,201.32,USD,1.0952,SETTLED,2025-07-08
TXN00020619,83.47,USD,0.5288,SETTLED,2025-02-10
TXN00125161,6.34,USD,0.0893,SETTLED,2025-07-22
TXN00047874,44.65,USD,0.3537,SETTLED,2025-03-28
TXN00028293,671.6,USD,2.2415,SETTLED,2025-02-23
TXN00232487,7.61,USD,0.5504,SETTLED,2025-12-03
TXN00101772,80.44,USD,0.5178,SETTLED,2025-06-19
TXN00212998,29.94,USD,0.6134,SETTLED,2025-11-10
TXN00167874,386.66,USD,2.4098,SETTLED,2025-09-17
TXN00233509,112.75,USD,0.741,SETTLED,2025-12-03
TXN00173605,64.54,USD,0.4446,SETTLED,2025-09-24
TXN00005522,336.3,USD,1.2957,SETTLED,2025-01-14
TXN00093320,274.22,USD,1.7164,SETTLED,2025-06-07
TXN00036356,108.45,USD,0.6426,SETTLED,2025-03-08
TXN00099009,100.4,USD,0.6086,SETTLED,2025-06-15
TXN00177547,184.51,USD,0.9958,SETTLED,2025-09-30
TXN00243746,2.58,USD,0.5362,SETTLED,2025-12-15
TXN00165599,16.17,USD,0.5728,SETTLED,2025-09-15
TXN00217662,19.14,USD,0.5827,SETTLED,2025-11-15
TXN00202511,90.72,USD,0.5676,SETTLED,2025-10-28
TXN00251785,2.02,USD,0.5349,SETTLED,2025-12-24
TXN00168773,15.55,USD,0.5711,SETTLED,2025-09-18
TXN00077940,81.76,USD,0.5468,SETTLED,2025-05-15
TXN00166562,83.04,USD,0.7626,SETTLED,2025-09-14
TXN00027879,687.9,USD,3.2668,SETTLED,2025-02-22
TXN00153279,327.48,USD,2.0471,SETTLED,2025-08-28
TXN00068646,1401.76,USD,8.553,SETTLED,2025-04-28
TXN00016557,73.23,USD,0.4824,SETTLED,2025-02-03
TXN00127237,68.42,USD,0.4639,SETTLED,2025-07-26
TXN00086662,107.0,USD,0.7004,SETTLED,2025-05-28
TXN00133302,13.07,USD,0.1303,SETTLED,2025-08-02
TXN00220515,291.41,USD,1.4873,SETTLED,2025-11-18
TXN00171254,155.13,USD,0.9974,SETTLED,2025-09-21
TXN00034691,84.38,USD,0.5334,SETTLED,2025-03-05
TXN00242243,104.51,USD,0.632,SETTLED,2025-12-12
TXN00024252,372.57,USD,1.3996,SETTLED,2025-02-14
TXN00212657,80.96,USD,0.7584,SETTLED,2025-11-11
TXN00196173,139.4,USD,0.7902,SETTLED,2025-10-22
TXN00010603,28.96,USD,0.2253,SETTLED,2025-01-22
TXN00113463,185.94,USD,1.1816,SETTLED,2025-07-05
TXN00164337,278.57,USD,1.7498,SETTLED,2025-09-11
TXN00070609,77.81,USD,0.5048,SETTLED,2025-05-03
TXN00191154,108.95,USD,0.8371,SETTLED,2025-10-15
TXN00197803,12.94,USD,0.2117,SETTLED,2025-10-25
TXN00197939,18.25,USD,0.5797,SETTLED,2025-10-24
TXN00244574,11.66,USD,0.5621,SETTLED,2025-12-17
TXN00030643,3.6,USD,0.0722,SETTLED,2025-02-25
TXN00100861,156.04,USD,0.999,SETTLED,2025-06-16
TXN00122032,2844.56,USD,13.1136,SETTLED,2025-07-17
TXN00065128,52.53,USD,0.39,SETTLED,2025-04-24
TXN00179292,123.9,USD,0.8072,SETTLED,2025-10-02
TXN00232292,11.58,USD,0.5615,SETTLED,2025-12-02
TXN00149339,21.86,USD,0.2519,SETTLED,2025-08-24
TXN00083751,257.91,USD,1.3242,SETTLED,2025-05-23
TXN00201521,177.6,USD,1.0327,SETTLED,2025-10-29
TXN00221063,72.86,USD,0.7357,SETTLED,2025-11-20
TXN00109202,13.84,USD,0.1349,SETTLED,2025-06-29
TXN00189267,124.59,USD,0.8815,SETTLED,2025-10-12
TXN00107726,33.73,USD,0.2558,SETTLED,2025-06-27
TXN00235760,830.59,USD,2.8935,SETTLED,2025-12-06
TXN00169630,1456.38,USD,4.6603,SETTLED,2025-09-20
TXN00098520,51.39,USD,0.3856,SETTLED,2025-06-15
TXN00061478,129.46,USD,0.8354,SETTLED,2025-04-17
TXN00201308,24.65,USD,0.598,SETTLED,2025-10-29
TXN00230017,12.0,USD,0.1244,SETTLED,2025-11-30
TXN00213775,66.24,USD,0.4559,SETTLED,2025-11-11
TXN00237106,9.19,USD,0.555,SETTLED,2025-12-07
TXN00036393,556.93,USD,2.6753,SETTLED,2025-03-06
TXN00208950,52.58,USD,0.3724,SETTLED,2025-11-06
TXN00070751,11.92,USD,0.1228,SETTLED,2025-05-03
TXN00053368,965.23,USD,5.8993,SETTLED,2025-04-06
TXN00159618,10.5,USD,0.5566,SETTLED,2025-09-08
TXN00072386,10.3,USD,0.3819,SETTLED,2025-05-05
TXN00048409,119.79,USD,0.7761,SETTLED,2025-03-28
TXN00181082,30.89,USD,0.2395,SETTLED,2025-10-02
TXN00110509,65.4,USD,0.4496,SETTLED,2025-06-30
TXN00023810,81.19,USD,0.5414,SETTLED,2025-02-16
TXN00124512,84.76,USD,0.5665,SETTLED,2025-07-21
TXN00106262,4.99,USD,0.3676,SETTLED,2025-06-26
TXN00230549,100.87,USD,0.8157,SETTLED,2025-12-02
TXN00250140,176.32,USD,1.1309,IN_TRANSIT,2025-12-21
TXN00135006,102.94,USD,0.6215,SETTLED,2025-08-06
TXN00190042,9.35,USD,0.1953,SETTLED,2025-10-14
TXN00065741,51.6,USD,0.4981,SETTLED,2025-04-25
TXN00081056,11.79,USD,0.3863,SETTLED,2025-05-19
TXN00160715,878.23,USD,3.0183,SETTLED,2025-09-07
TXN00151732,52.29,USD,0.3695,SETTLED,2025-08-28
TXN00246431,231.39,USD,1.214,SETTLED,2025-12-19
TXN00251789,249.02,USD,1.2951,SETTLED,2025-12-25
TXN00011605,123.38,USD,0.7957,SETTLED,2025-01-24
TXN00187594,167.5,USD,1.0737,SETTLED,2025-10-12
TXN00065937,40.4,USD,0.2955,SETTLED,2025-04-26
TXN00214895,19.37,USD,0.5833,SETTLED,2025-11-12
TXN00039172,60.74,USD,0.4264,SETTLED,2025-03-11
TXN00029286,16.48,USD,0.1501,SETTLED,2025-02-23
TXN00090405,23.04,USD,0.1906,SETTLED,2025-06-03
TXN00071523,102.72,USD,0.6737,SETTLED,2025-05-04
TXN00010651,54.28,USD,0.5038,SETTLED,2025-01-23
TXN00253082,43.0,USD,0.3144,SETTLED,2025-12-24
TXN00176302,29.86,USD,0.612,SETTLED,2025-09-26
TXN00014541,92.95,USD,0.5715,SETTLED,2025-01-31
TXN00226566,21.78,USD,0.2525,SETTLED,2025-11-26
TXN00108323,123.33,USD,0.8006,SETTLED,2025-06-28
TXN00071595,153.85,USD,0.9838,SETTLED,2025-05-03
TXN00007396,13.73,USD,0.1332,SETTLED,2025-01-18
TXN00022754,80.14,USD,0.5139,SETTLED,2025-02-13
TXN00230505,26.74,USD,0.2146,SETTLED,2025-12-01
TXN00010411,38.18,USD,0.3235,SETTLED,2025-01-23
TXN00224344,63.24,USD,0.4379,SETTLED,2025-11-22
TXN00229975,15.63,USD,0.1466,SETTLED,2025-11-29
TXN00109255,224.33,USD,1.4148,SETTLED,2025-07-01
TXN00211040,13.19,USD,0.5656,SETTLED,2025-11-08
TXN00228654,17.11,USD,0.1557,SETTLED,2025-11-29
TXN00021718,194.25,USD,1.0303,SETTLED,2025-02-10
TXN00090658,196.76,USD,0.909,SETTLED,2025-06-03
TXN00013941,129.06,USD,0.7142,SETTLED,2025-01-29
TXN00184912,3.22,USD,0.0706,SETTLED,2025-10-09
TXN00039461,197.2,USD,1.2442,SETTLED,2025-03-14
TXN00052974,92.1,USD,0.6086,SETTLED,2025-04-04
TXN00167815,42.23,USD,0.6468,SETTLED,2025-09-17
TXN00105905,296.33,USD,1.8523,SETTLED,2025-06-24
TXN00008559,318.7,USD,1.9753,SETTLED,2025-01-19
TXN00222317,4.74,USD,0.08,SETTLED,2025-11-21
TXN00001791,79.92,USD,0.512,SETTLED,2025-01-06
TXN00170211,503.74,USD,3.1241,SETTLED,2025-09-19
TXN00192247,50.94,USD,0.3855,SETTLED,2025-10-18
TXN00177634,141.89,USD,0.801,SETTLED,2025-09-29
TXN00116700,170.41,USD,1.0077,SETTLED,2025-07-11
TXN00080648,193.47,USD,1.2249,SETTLED,2025-05-18
TXN00132269,210.49,USD,1.1117,SETTLED,2025-07-31
TXN00008143,49.35,USD,0.3484,SETTLED,2025-01-17
TXN00055474,64.08,USD,0.4421,SETTLED,2025-04-09
TXN00206287,11.8,USD,0.5615,SETTLED,2025-11-03
TXN00116019,30.53,USD,0.2364,SETTLED,2025-07-08
TXN00238244,11.66,USD,0.562,SETTLED,2025-12-09
TXN00127965,118.91,USD,0.8626,SETTLED,2025-07-26
TXN00119749,394.35,USD,1.6416,SETTLED,2025-07-15
TXN00075356,5.53,USD,0.3684,SETTLED,2025-05-10
TXN00017233,27.27,USD,0.2743,SETTLED,2025-02-05
TXN00002162,59.78,USD,0.4112,SETTLED,2025-01-06
TXN00121550,374.36,USD,1.5855,SETTLED,2025-07-17
TXN00017525,302.23,USD,1.8772,SETTLED,2025-02-05
TXN00107546,30.66,USD,0.4402,SETTLED,2025-06-27
TXN00109287,38.09,USD,0.2823,SETTLED,2025-06-30
TXN00039853,125.85,USD,0.7216,SETTLED,2025-03-14
TXN00002267,10.94,USD,0.2001,SETTLED,2025-01-07
TXN00243226,8.51,USD,0.5531,SETTLED,2025-12-15
TXN00192849,14.03,USD,0.5676,SETTLED,2025-10-18
TXN00246703,34.79,USD,0.2641,SETTLED,2025-12-17
TXN00216887,682.48,USD,4.2245,SETTLED,2025-11-14
TXN00156912,58.94,USD,0.4102,SETTLED,2025-09-04
TXN00207569,61.98,USD,0.4363,SETTLED,2025-11-04
TXN00157579,6.36,USD,0.0896,SETTLED,2025-09-03
TXN00115658,178.47,USD,0.9649,SETTLED,2025-07-08
TXN00051230,504.42,USD,1.7737,SETTLED,2025-04-03
TXN00088675,30.2,USD,0.234,SETTLED,2025-06-01
TXN00107991,234.34,USD,1.2189,SETTLED,2025-06-27
TXN00003874,88.14,USD,0.5825,SETTLED,2025-01-09
TXN00193900,108.56,USD,0.6491,SETTLED,2025-10-20
TXN00091324,378.3,USD,1.4222,SETTLED,2025-06-04
TXN00165324,24.72,USD,0.2016,SETTLED,2025-09-13
TXN00176305,44.09,USD,0.6524,SETTLED,2025-09-26
TXN00243514,12.12,USD,0.5634,SETTLED,2025-12-14
TXN00238746,232.6,USD,1.4748,SETTLED,2025-12-10
TXN00159739,13.79,USD,0.1349,SETTLED,2025-09-08
TXN00154329,7.8,USD,0.0668,SETTLED,2025-08-31
TXN00002217,1305.36,USD,4.0164,SETTLED,2025-01-07
TXN00243627,31.95,USD,0.6199,SETTLED,2025-12-14
TXN00132768,162.69,USD,0.8938,SETTLED,2025-08-02
TXN00214958,6.76,USD,0.5474,SETTLED,2025-11-14
TXN00012631,49.77,USD,0.4912,SETTLED,2025-01-27
TXN00139419,104.1,USD,0.6848,IN_TRANSIT,2025-08-10
TXN00196434,156.53,USD,0.9727,SETTLED,2025-10-23
TXN00140402,93.72,USD,0.6218,SETTLED,2025-08-12
TXN00067572,153.78,USD,0.7865,SETTLED,2025-04-27
TXN00103365,467.77,USD,2.8941,SETTLED,2025-06-21
TXN00143169,8.05,USD,0.0998,SETTLED,2025-08-17
TXN00232541,72.9,USD,0.4869,SETTLED,2025-12-02
TXN00259104,222.19,USD,1.1723,SETTLED,2025-12-31
TXN00063826,19.4,USD,0.2395,SETTLED,2025-04-23
TXN00122052,103.45,USD,0.6802,IN_TRANSIT,2025-07-19
TXN00190544,200.43,USD,1.2749,SETTLED,2025-10-15
TXN00040297,48.97,USD,0.3731,SETTLED,2025-03-14
TXN00197475,95.82,USD,0.6363,SETTLED,2025-10-24
TXN00196171,39.87,USD,0.6411,SETTLED,2025-10-21
TXN00133505,1820.97,USD,8.4551,SETTLED,2025-08-04
TXN00192960,1125.26,USD,3.7246,SETTLED,2025-10-17
TXN00026619,62.88,USD,0.5286,SETTLED,2025-02-20
TXN00128593,637.38,USD,3.931,SETTLED,2025-07-28
TXN00017873,30.37,USD,0.2884,SETTLED,2025-02-04
